Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,11.00,11.07,10.94,11.00,2596700,10.901698
2016-12-29,10.84,10.87,10.80,10.85,1970800,10.753039
2016-12-28,10.95,11.00,10.89,10.89,2432500,10.792682
2016-12-27,11.05,11.12,11.03,11.09,1631600,10.990894
2016-12-23,11.01,11.07,10.95,11.04,1895500,10.941341
2016-12-22,11.15,11.20,11.03,11.07,4281500,10.971072
2016-12-21,11.24,11.30,11.22,11.27,2088800,11.169286
2016-12-20,11.18,11.27,11.15,11.25,3179700,11.149464
2016-12-19,11.03,11.05,10.96,11.02,4212900,10.92152
2016-12-16,11.33,11.38,11.28,11.29,3093200,11.189107
2016-12-15,11.35,11.42,11.31,11.36,4274500,11.258481
2016-12-14,11.35,11.37,11.12,11.15,7584300,11.050357
2016-12-13,11.58,11.67,11.53,11.62,6803300,11.516157
2016-12-12,11.60,11.63,11.42,11.47,4214900,11.367498
2016-12-09,11.63,11.76,11.57,11.74,4751300,11.635085
2016-12-08,11.95,12.05,11.88,11.99,7398600,11.882851
2016-12-07,11.68,11.91,11.67,11.90,8967800,11.793655
2016-12-06,11.42,11.60,11.30,11.59,9948300,11.486426
2016-12-05,10.85,11.02,10.85,10.97,5792400,10.871967
2016-12-02,10.70,10.79,10.64,10.70,4624300,10.604379
2016-12-01,10.89,11.00,10.84,10.91,6606400,10.812502
2016-11-30,10.67,10.79,10.67,10.75,3284600,10.653932
2016-11-29,10.65,10.70,10.59,10.61,4035400,10.515183
2016-11-28,10.55,10.59,10.36,10.38,4133100,10.287239
2016-11-25,10.65,10.68,10.63,10.66,1683800,10.564736
2016-11-23,10.39,10.63,10.39,10.58,3899300,10.485451
2016-11-22,10.53,10.56,10.48,10.53,2123500,10.435898
2016-11-21,10.47,10.53,10.46,10.52,3271500,10.425988
2016-11-18,10.39,10.47,10.36,10.42,3718200,10.326881
2016-11-17,10.45,10.59,10.43,10.55,3641900,10.45572
2016-11-16,10.41,10.45,10.34,10.38,4124700,10.287239
2016-11-15,10.55,10.60,10.38,10.60,5662700,10.505273
2016-11-14,10.38,10.57,10.38,10.55,7879400,10.45572
2016-11-11,10.13,10.17,10.02,10.16,9479000,10.069205
2016-11-10,10.11,10.20,9.95,10.11,12031800,10.019651
2016-11-09,9.33,9.65,9.32,9.60,10603600,9.51421
2016-11-08,9.09,9.25,9.03,9.20,4204500,9.117784
2016-11-07,9.11,9.19,9.10,9.18,3201000,9.097963
2016-11-04,9.02,9.11,8.94,8.96,6057100,8.879929
2016-11-03,9.27,9.30,9.10,9.15,5028600,9.06823
2016-11-02,9.04,9.07,8.87,8.91,3991900,8.830375
2016-11-01,9.24,9.25,9.00,9.10,4426700,9.018678
2016-10-31,9.23,9.28,9.16,9.22,3785400,9.137606
2016-10-28,9.27,9.34,9.17,9.25,4986700,9.167337
2016-10-27,9.25,9.35,9.20,9.27,12032500,9.187159
2016-10-26,8.78,8.89,8.77,8.85,5505400,8.770912
2016-10-25,8.91,8.96,8.86,8.90,3491000,8.820465
2016-10-24,8.99,9.00,8.88,8.92,3050400,8.840286
2016-10-21,8.87,8.95,8.86,8.92,4366700,8.840286
2016-10-20,8.87,8.98,8.84,8.91,8578200,8.830375
2016-10-19,8.71,8.78,8.68,8.71,4828500,8.632163
2016-10-18,8.51,8.58,8.47,8.56,5153300,8.483504
2016-10-17,8.28,8.30,8.18,8.23,3398100,8.156452
2016-10-14,8.40,8.45,8.23,8.28,5182100,8.206005
2016-10-13,8.13,8.20,8.02,8.16,6721900,8.087078
2016-10-12,8.31,8.38,8.20,8.22,6045300,8.146542
2016-10-11,8.51,8.53,8.37,8.41,6328100,8.334844
2016-10-10,8.58,8.58,8.48,8.53,7029800,8.453771
2016-10-07,8.53,8.65,8.47,8.58,9858900,8.503325
