Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,57.560001,57.580002,56.91,57.220001,4951600,56.81506
2016-12-29,58.00,58.139999,57.369999,57.419998,3269000,57.013641
2016-12-28,58.59,58.73,57.880001,57.900002,3342000,57.490248
2016-12-27,58.459999,58.900002,58.380001,58.419998,2106400,58.006565
2016-12-23,58.18,58.450001,58.040001,58.43,3074500,58.016496
2016-12-22,59.02,59.150002,58.41,58.75,5539600,57.877488
2016-12-21,58.939999,59.330002,58.650002,59.080002,5320200,58.202589
2016-12-20,58.900002,59.00,58.639999,58.799999,4975400,57.926744
2016-12-19,58.939999,58.939999,58.349998,58.779999,5839800,57.907041
2016-12-16,58.939999,59.00,57.93,58.41,9880800,57.542537
2016-12-15,57.419998,58.48,57.419998,58.349998,5872200,57.483427
2016-12-14,57.970001,58.23,57.419998,57.66,9798300,56.803676
2016-12-13,58.169998,58.540001,57.689999,58.150002,7257500,57.2864
2016-12-12,57.91,58.57,57.779999,58.27,10315800,57.404617
2016-12-09,57.470001,57.75,57.130001,57.709999,6611600,56.852932
2016-12-08,56.98,57.73,56.50,57.43,8095900,56.577092
2016-12-07,56.060001,56.990002,55.939999,56.900002,8195600,56.054964
2016-12-06,55.889999,56.240002,55.240002,56.220001,9929200,55.385063
2016-12-05,55.740002,56.529999,55.720001,56.060001,11330400,55.227439
2016-12-02,55.990002,56.029999,55.369999,55.419998,7624700,54.596941
2016-12-01,56.009998,56.48,55.790001,56.110001,10986200,55.276696
2016-11-30,54.279999,56.080002,54.130001,55.720001,18317000,54.892488
2016-11-29,54.049999,54.290001,53.689999,53.990002,5551100,53.188181
2016-11-28,54.130001,54.439999,53.900002,54.32,6668500,53.513279
2016-11-25,54.049999,54.299999,53.84,54.18,2494400,53.375358
2016-11-23,54.080002,54.360001,53.889999,54.07,4861600,53.266991
2016-11-22,53.91,54.560001,53.650002,54.330002,11139000,53.523132
2016-11-21,53.549999,54.119999,53.509998,54.00,7454500,53.198031
2016-11-18,53.189999,53.48,53.009998,53.23,6339700,52.439466
2016-11-17,53.32,53.43,52.720001,53.360001,4255600,52.567537
