Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,20.049999,20.059999,19.860001,19.93,559800,19.93
2016-12-29,20.040001,20.139999,20.040001,20.120001,290900,20.120001
2016-12-28,20.08,20.10,20.040001,20.08,369100,20.08
2016-12-27,20.07,20.120001,20.040001,20.049999,316300,20.049999
2016-12-23,20.01,20.01,19.940001,20.01,446900,20.01
2016-12-22,20.049999,20.049999,19.92,19.950001,1064100,19.950001
2016-12-21,20.32,20.360001,20.26,20.290001,631600,20.290001
2016-12-20,21.059999,21.07,21.00,21.02,1023000,20.358
2016-12-19,21.040001,21.059999,20.91,20.91,909800,20.251464
2016-12-16,21.219999,21.26,21.15,21.18,1013100,20.512961
2016-12-15,21.219999,21.23,21.139999,21.18,1004600,20.512961
2016-12-14,21.77,21.799999,21.389999,21.41,1213000,20.735717
2016-12-13,21.73,21.860001,21.719999,21.83,590200,21.142489
2016-12-12,21.73,21.75,21.68,21.73,523800,21.045638
2016-12-09,21.66,21.709999,21.60,21.709999,1321800,21.026268
2016-12-08,21.74,21.84,21.719999,21.83,685100,21.142489
2016-12-07,21.84,22.00,21.809999,22.00,430600,21.307135
2016-12-06,21.700001,21.76,21.700001,21.709999,550800,21.026268
2016-12-05,21.60,21.719999,21.60,21.67,612500,20.987529
2016-12-02,21.40,21.530001,21.40,21.43,664500,20.755087
2016-12-01,21.32,21.32,21.23,21.280001,760800,20.609812
2016-11-30,21.139999,21.16,21.049999,21.049999,580100,20.387054
2016-11-29,20.92,21.01,20.870001,20.98,634000,20.319259
2016-11-28,20.99,21.059999,20.959999,21.00,765800,20.338629
2016-11-25,20.83,20.90,20.83,20.870001,369500,20.212724
2016-11-23,20.549999,20.559999,20.49,20.52,597900,19.873747
2016-11-22,20.58,20.66,20.530001,20.65,653600,19.999652
2016-11-21,20.540001,20.610001,20.48,20.610001,787200,19.960912
2016-11-18,20.700001,20.700001,20.52,20.59,957800,19.941542
2016-11-17,20.52,20.59,20.469999,20.50,707400,19.854376
2016-11-16,20.34,20.43,20.309999,20.370001,630000,19.728471
2016-11-15,20.33,20.48,20.309999,20.459999,682900,19.815635
2016-11-14,20.25,20.27,20.110001,20.209999,718900,19.573509
2016-11-11,20.370001,20.43,20.24,20.360001,1273400,19.718786
2016-11-10,20.68,20.690001,20.450001,20.52,1554200,19.873747
2016-11-09,20.73,20.940001,20.65,20.74,1731800,20.086817
2016-11-08,20.90,21.120001,20.889999,21.059999,833800,20.396739
2016-11-07,20.76,20.92,20.76,20.90,478400,20.241778
2016-11-04,10.26,10.32,10.25,10.27,353700,19.893117
2016-11-03,10.37,10.38,10.33,10.36,697100,20.067447
2016-11-02,10.39,10.41,10.32,10.32,524500,19.989966
