Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,29.50,29.51,29.290001,29.370001,3348400,29.370001
2016-12-29,29.379999,29.58,29.34,29.559999,3425000,29.559999
2016-12-28,29.440001,29.450001,29.25,29.26,2777100,29.26
2016-12-27,29.139999,29.26,29.139999,29.23,1746300,29.23
2016-12-23,29.00,29.16,28.98,29.16,2213400,29.16
2016-12-22,29.059999,29.10,28.92,29.059999,2755100,29.059999
2016-12-21,29.68,29.68,29.530001,29.540001,2504600,29.540001
2016-12-20,30.40,30.49,30.389999,30.389999,4896600,29.688999
2016-12-19,30.610001,30.620001,30.360001,30.360001,4605400,29.659692
2016-12-16,30.77,30.809999,30.540001,30.629999,3185500,29.923463
2016-12-15,31.00,31.120001,30.870001,31.02,6832000,30.304468
2016-12-14,31.24,31.32,30.639999,30.65,6670000,29.943002
2016-12-13,31.35,31.610001,31.35,31.49,3031400,30.763626
2016-12-12,31.25,31.32,31.139999,31.190001,2857100,30.470546
2016-12-09,31.450001,31.48,31.360001,31.360001,2523400,30.636625
2016-12-08,31.41,31.549999,31.33,31.530001,3554600,30.802704
2016-12-07,30.92,31.299999,30.889999,31.26,5564700,30.538931
2016-12-06,30.790001,30.93,30.76,30.90,7509000,30.187235
2016-12-05,30.440001,30.59,30.41,30.57,3587800,29.864847
2016-12-02,30.42,30.559999,30.389999,30.50,3170300,29.796462
2016-12-01,30.690001,30.690001,30.370001,30.41,6107600,29.708538
2016-11-30,30.879999,30.879999,30.700001,30.74,7837700,30.030926
2016-11-29,30.709999,30.90,30.620001,30.83,3611100,30.11885
2016-11-28,30.82,30.91,30.75,30.77,3746500,30.060234
2016-11-25,30.73,30.790001,30.66,30.700001,1508300,29.991849
2016-11-23,30.450001,30.620001,30.450001,30.50,6363500,29.796462
2016-11-22,30.67,30.799999,30.58,30.76,5279800,30.050465
2016-11-21,30.16,30.309999,30.15,30.26,2808200,29.561998
2016-11-18,29.969999,30.01,29.82,29.940001,4536700,29.24938
2016-11-17,30.040001,30.190001,29.959999,30.040001,4329600,29.347074
2016-11-16,29.709999,29.92,29.68,29.870001,4879400,29.180995
2016-11-15,29.799999,30.10,29.76,30.059999,4992600,29.366611
2016-11-14,29.639999,29.75,29.389999,29.459999,8923000,28.780451
2016-11-11,29.52,29.879999,29.290001,29.75,9355700,29.063762
2016-11-10,30.75,30.780001,29.90,29.969999,13999000,29.278687
2016-11-09,30.799999,30.98,30.50,30.65,10443100,29.943002
2016-11-08,31.42,31.860001,31.35,31.74,7032100,31.007859
2016-11-07,31.299999,31.65,31.25,31.65,5146000,30.919935
2016-11-04,15.34,15.41,15.29,15.31,2288900,29.913695
2016-11-03,15.43,15.46,15.35,15.40,2772700,30.089541
2016-11-02,15.53,15.57,15.40,15.44,5601900,30.167696
2016-11-01,15.72,15.74,15.49,15.59,4728600,30.460777
2016-10-31,15.68,15.79,15.68,15.76,2847700,30.792934
2016-10-28,15.69,15.74,15.59,15.65,3139000,30.578008
2016-10-27,15.79,15.79,15.61,15.62,3367700,30.519392
2016-10-26,15.82,15.91,15.81,15.83,2173500,30.929704
2016-10-25,15.93,15.98,15.90,15.91,2449700,31.086014
2016-10-24,15.84,15.86,15.78,15.84,1707400,30.949243
2016-10-21,15.70,15.78,15.66,15.74,2154900,30.753856
2016-10-20,15.77,15.86,15.74,15.77,2712500,30.812473
