Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,44.360001,44.490002,43.860001,43.970001,3425400,43.970001
2016-12-29,43.91,44.490002,43.790001,44.209999,2448300,44.209999
2016-12-28,43.709999,43.77,43.470001,43.720001,1757400,43.720001
2016-12-27,43.639999,43.889999,43.369999,43.439999,1857300,43.439999
2016-12-23,43.259998,43.779999,43.130001,43.700001,1671800,43.700001
2016-12-22,43.07,43.34,42.650002,43.259998,4933400,43.259998
2016-12-21,43.849998,43.939999,43.509998,43.52,1949700,43.52
2016-12-20,44.200001,44.490002,43.939999,44.060001,2212900,43.861003
2016-12-19,44.290001,44.580002,44.200001,44.259998,2108700,44.060096
2016-12-16,45.119999,45.200001,44.119999,44.369999,4420700,44.1696
2016-12-15,44.790001,45.220001,44.52,45.09,4729800,44.886349
2016-12-14,46.330002,46.389999,45.00,45.139999,4426200,44.936123
2016-12-13,46.209999,46.689999,45.93,46.259998,3595800,46.051063
2016-12-12,46.32,46.439999,45.990002,46.209999,3464900,46.00129
2016-12-09,45.540001,46.00,45.299999,45.84,3934900,45.632962
2016-12-08,45.00,45.709999,44.779999,45.549999,3323700,45.344271
2016-12-07,44.669998,45.240002,44.580002,45.00,4365600,44.796756
2016-12-06,44.07,44.490002,44.049999,44.34,4101200,44.139737
2016-12-05,43.48,43.950001,43.470001,43.700001,4181900,43.502628
2016-12-02,43.400002,43.849998,43.150002,43.220001,4777600,43.024796
2016-12-01,43.950001,44.09,43.060001,43.27,7382300,43.07457
2016-11-30,44.310001,44.439999,43.98,44.119999,5035300,43.920729
2016-11-29,43.91,44.200001,43.82,44.049999,3487600,43.851046
2016-11-28,44.150002,44.200001,43.970001,44.00,3428700,43.801272
2016-11-25,43.77,44.150002,43.740002,44.080002,1962100,43.880913
2016-11-23,43.029999,43.689999,42.900002,43.669998,5825200,43.472761
2016-11-22,44.060001,44.099998,43.330002,43.490002,7973600,43.293577
2016-11-21,43.490002,43.919998,43.470001,43.610001,3150700,43.413034
2016-11-18,44.299999,44.41,42.860001,42.970001,6811200,42.775925
2016-11-17,44.73,45.18,43.950001,44.209999,9857600,44.010323
2016-11-16,44.490002,45.09,44.240002,44.560001,6568000,44.358744
