Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,24.51,24.58,24.200001,24.27,4422500,24.133503
2016-12-29,24.450001,24.610001,24.379999,24.440001,4575200,24.302547
2016-12-28,24.98,25.059999,24.40,24.450001,5109800,24.312491
2016-12-27,24.719999,25.00,24.719999,24.940001,3399000,24.799735
2016-12-23,24.75,24.799999,24.66,24.77,3799600,24.630691
2016-12-22,24.719999,24.889999,24.66,24.75,8180500,24.610803
2016-12-21,24.549999,24.940001,24.530001,24.83,4796800,24.690353
2016-12-20,24.41,24.700001,24.41,24.59,5466200,24.451703
2016-12-19,24.309999,24.65,24.309999,24.360001,5386100,24.222997
2016-12-16,24.27,24.530001,24.24,24.299999,16791000,24.163333
2016-12-15,24.309999,24.50,24.17,24.24,9801900,24.103671
2016-12-14,24.450001,24.620001,24.309999,24.34,7254600,24.203109
2016-12-13,24.379999,24.540001,24.32,24.459999,9691700,24.322433
2016-12-12,24.50,24.57,24.200001,24.32,7961700,24.183221
2016-12-09,24.82,24.92,24.42,24.559999,11681900,24.421871
2016-12-08,24.879999,25.35,24.84,24.879999,11903500,24.740071
2016-12-07,24.00,24.610001,23.969999,24.58,7055900,24.441759
2016-12-06,23.60,24.02,23.59,23.99,5312900,23.855077
2016-12-05,23.67,23.959999,23.610001,23.629999,8595900,23.497101
2016-12-02,23.540001,23.73,23.52,23.549999,5690900,23.417551
2016-12-01,24.030001,24.129999,23.48,23.530001,8877100,23.397665
2016-11-30,24.219999,24.459999,23.98,24.030001,7854200,23.894853
2016-11-29,24.200001,24.40,24.16,24.17,5566100,24.034065
2016-11-28,24.25,24.42,24.18,24.200001,4544300,24.063897
2016-11-25,24.18,24.360001,24.16,24.290001,2605100,24.153391
2016-11-23,23.959999,24.219999,23.93,24.190001,4574100,24.053953
2016-11-22,23.98,24.07,23.879999,24.00,5669000,23.865021
2016-11-21,23.90,24.00,23.77,23.870001,5198700,23.735753
2016-11-18,23.82,23.889999,23.690001,23.83,4752100,23.695977
2016-11-17,23.74,23.879999,23.74,23.82,4412000,23.686033
2016-11-16,23.549999,23.90,23.52,23.67,6311500,23.536877
2016-11-15,23.299999,23.700001,23.299999,23.65,6632700,23.516989
2016-11-14,23.48,23.65,23.40,23.49,7637200,23.223649
2016-11-11,23.120001,23.469999,23.110001,23.40,9153700,23.13467
2016-11-10,23.309999,23.58,23.17,23.190001,13188900,22.927052
2016-11-09,22.77,23.32,22.540001,23.209999,10550700,22.946823
2016-11-08,22.98,23.280001,22.950001,23.16,6608800,22.897391
2016-11-07,22.799999,23.09,22.76,22.98,11174200,22.719432
2016-11-04,22.35,22.620001,22.33,22.40,21053100,22.146008
2016-11-03,22.48,22.549999,22.23,22.33,10994700,22.076803
2016-11-02,22.51,22.690001,22.309999,22.459999,11589900,22.205328
2016-11-01,22.82,22.889999,22.389999,22.58,8994600,22.323968
2016-10-31,22.73,22.75,22.530001,22.709999,10242800,22.452493
2016-10-28,22.870001,23.129999,22.66,22.68,14260400,22.422834
2016-10-27,23.10,23.15,22.879999,22.92,8345400,22.660113
2016-10-26,22.91,23.24,22.879999,23.02,12335700,22.758979
2016-10-25,23.889999,23.889999,22.73,22.969999,17599000,22.709545
2016-10-24,23.950001,24.139999,23.73,23.889999,9829400,23.619113
2016-10-21,23.629999,23.85,23.51,23.82,5938600,23.549907
2016-10-20,23.719999,23.870001,23.690001,23.799999,4177400,23.530134
2016-10-19,23.629999,23.93,23.559999,23.76,6462600,23.490588
2016-10-18,23.65,23.83,23.59,23.610001,8054900,23.342289
2016-10-17,23.41,23.58,23.40,23.43,5821200,23.16433
2016-10-14,23.40,23.610001,23.370001,23.389999,6775500,23.124783
2016-10-13,23.200001,23.280001,23.059999,23.200001,8697900,22.936939
2016-10-12,23.58,23.610001,23.25,23.41,9556100,23.144556
2016-10-11,23.719999,23.809999,23.559999,23.639999,5939100,23.371948
2016-10-10,23.860001,23.959999,23.780001,23.809999,6739700,23.540021
2016-10-07,23.860001,23.950001,23.66,23.780001,8529600,23.510362
2016-10-06,23.790001,23.950001,23.690001,23.870001,9753900,23.599342
2016-10-05,23.51,23.889999,23.51,23.799999,8362900,23.530134
2016-10-04,23.700001,23.75,23.32,23.41,9446700,23.144556
2016-10-03,23.59,23.709999,23.57,23.66,8666700,23.391722
2016-09-30,23.66,23.809999,23.41,23.65,9828500,23.381835
2016-09-29,23.57,23.780001,23.49,23.52,7643200,23.25331
2016-09-28,23.40,23.639999,23.360001,23.629999,11990000,23.362061
2016-09-27,22.99,23.35,22.959999,23.33,10187000,23.065464
2016-09-26,23.00,23.049999,22.91,23.00,8212700,22.739206
2016-09-23,22.950001,23.23,22.91,23.139999,10115500,22.877617
2016-09-22,23.030001,23.23,23.02,23.110001,8373900,22.847959
2016-09-21,22.82,23.030001,22.700001,22.959999,11700100,22.699658
2016-09-20,22.85,22.91,22.66,22.700001,7664800,22.442608
2016-09-19,22.700001,23.00,22.700001,22.700001,6141600,22.442608
2016-09-16,22.540001,22.68,22.48,22.620001,13055900,22.363515
2016-09-15,22.24,22.67,22.24,22.59,7031500,22.333855
2016-09-14,22.32,22.57,22.309999,22.370001,6985000,22.11635
2016-09-13,22.33,22.50,22.24,22.35,10036500,22.096576
2016-09-12,22.200001,22.57,22.139999,22.48,12405700,22.225101
2016-09-09,22.59,22.639999,22.299999,22.379999,13999000,22.126235
2016-09-08,22.709999,22.84,22.66,22.76,14202100,22.501927
2016-09-07,22.85,22.92,22.709999,22.82,10391000,22.561246
2016-09-06,22.77,22.879999,22.719999,22.879999,6963200,22.620565
2016-09-02,22.75,22.940001,22.700001,22.77,5110600,22.511814
2016-09-01,22.67,22.799999,22.59,22.709999,5918400,22.452493
2016-08-31,22.700001,22.74,22.559999,22.690001,7859500,22.432721
2016-08-30,22.690001,22.790001,22.65,22.77,7238400,22.511814
2016-08-29,22.59,22.879999,22.540001,22.690001,8485500,22.432721
2016-08-26,22.75,22.90,22.58,22.67,9418400,22.279478
2016-08-25,22.620001,22.84,22.540001,22.68,7680400,22.289306
2016-08-24,22.83,22.940001,22.620001,22.66,7588100,22.26965
2016-08-23,22.879999,23.01,22.809999,22.83,9692700,22.436721
2016-08-22,22.65,22.799999,22.58,22.73,8571200,22.338444
2016-08-19,22.709999,22.90,22.65,22.77,11328200,22.377755
2016-08-18,22.59,22.76,22.559999,22.67,9902500,22.279478
2016-08-17,22.77,22.799999,22.450001,22.59,10100400,22.200856
2016-08-16,22.950001,23.07,22.68,22.74,9179300,22.348271
2016-08-15,22.90,23.129999,22.870001,23.07,7735500,22.672587
2016-08-12,22.870001,22.950001,22.780001,22.870001,6336700,22.476033
2016-08-11,22.90,23.00,22.870001,22.92,6531700,22.525171
2016-08-10,22.889999,22.940001,22.75,22.83,5700200,22.436721
2016-08-09,22.870001,23.00,22.84,22.91,5756000,22.515343
2016-08-08,22.639999,22.92,22.60,22.799999,21735000,22.407237
2016-08-05,22.450001,22.73,22.440001,22.639999,10726100,22.249994
2016-08-04,22.16,22.49,22.16,22.379999,7728500,21.994472
2016-08-03,22.120001,22.360001,22.07,22.200001,24294800,21.817575
2016-08-02,22.26,22.370001,22.08,22.110001,8687000,21.729125
2016-08-01,22.25,22.469999,22.219999,22.290001,12726200,21.906024
2016-07-29,22.360001,22.469999,22.18,22.219999,27644400,21.837229
2016-07-28,21.49,22.620001,21.41,22.290001,22400800,21.906024
2016-07-27,20.969999,21.530001,20.76,21.49,17900700,21.119804
2016-07-26,21.700001,21.85,21.65,21.709999,8220700,21.336014
2016-07-25,21.60,21.719999,21.540001,21.65,4536700,21.277048
2016-07-22,21.459999,21.67,21.360001,21.65,3034700,21.277048
2016-07-21,21.639999,21.77,21.459999,21.50,3868500,21.129632
2016-07-20,21.389999,21.65,21.25,21.610001,4890700,21.237738
2016-07-19,21.32,21.440001,21.25,21.32,3698300,20.952733
2016-07-18,21.389999,21.440001,21.309999,21.379999,4386700,21.011699
2016-07-15,21.450001,21.450001,21.27,21.35,4907500,20.982217
2016-07-14,21.50,21.549999,21.389999,21.42,4485200,21.051011
2016-07-13,21.450001,21.549999,21.35,21.370001,4253300,21.001873
2016-07-12,21.129999,21.50,21.09,21.450001,7262500,21.080495
2016-07-11,20.879999,21.120001,20.879999,20.99,4539300,20.628418
2016-07-08,20.57,20.92,20.57,20.91,5830100,20.549796
2016-07-07,20.52,20.780001,20.34,20.42,7302600,20.068237
