Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,135.600006,135.630005,134.399994,134.850006,28399300,134.462807
2016-12-29,135.289993,136.259995,134.690002,135.369995,21312900,134.981303
2016-12-28,136.889999,136.979996,134.830002,135.25,22712400,134.861652
2016-12-27,136.229996,137.300003,136.210007,136.649994,13571700,136.257626
2016-12-23,135.460007,136.119995,135.270004,136.039993,17081400,135.649377
2016-12-22,136.559998,136.75,134.809998,135.320007,34737900,134.931458
2016-12-21,137.850006,138.149994,137.009995,137.059998,23215900,136.105067
2016-12-20,137.279999,138.210007,136.990005,137.960007,31753600,136.998805
2016-12-19,136.039993,137.190002,135.910004,136.800003,33393900,135.846884
2016-12-16,136.350006,137.529999,135.630005,135.910004,39348200,134.963085
2016-12-15,135.369995,137.139999,134.960007,136.160004,41352500,135.211343
2016-12-14,136.419998,137.350006,134.809998,135.149994,45923700,134.208371
2016-12-13,137.529999,138.050003,136.240005,136.860001,32624600,135.906463
2016-12-12,137.949997,138.570007,136.509995,136.850006,34592900,135.896538
2016-12-09,138.399994,138.820007,137.75,138.309998,34313500,137.346358
2016-12-08,136.25,138.210007,135.800003,138.039993,49048900,137.078235
2016-12-07,134.589996,136.179993,134.179993,135.899994,31825800,134.953145
2016-12-06,133.520004,134.910004,132.740005,134.589996,27820000,133.652275
2016-12-05,131.970001,133.330002,131.889999,133.149994,27547100,132.222305
2016-12-02,130.940002,131.470001,130.520004,130.899994,24054100,129.987981
2016-12-01,132.25,132.550003,130.289993,130.970001,39815900,130.057501
2016-11-30,132.919998,133.089996,131.50,131.610001,32491200,130.693041
2016-11-29,132.509995,133.089996,132.100006,132.259995,27993700,131.338507
2016-11-28,133.970001,134.00,132.149994,132.330002,32505700,131.408026
2016-11-25,133.729996,134.100006,133.539993,134.070007,13373400,133.135909
2016-11-23,132.479996,133.649994,132.100006,133.630005,37939200,132.698972
2016-11-22,132.119995,132.899994,131.669998,132.800003,39681500,131.874753
2016-11-21,131.309998,132.00,130.610001,131.600006,32293100,130.683116
2016-11-18,130.690002,131.089996,130.300003,130.990005,41380600,130.077366
2016-11-17,129.949997,130.830002,129.75,130.300003,42576900,129.392171
2016-11-16,129.25,130.00,129.029999,129.539993,42325500,128.637456
2016-11-15,128.850006,129.889999,128.300003,129.550003,38704500,128.647396
2016-11-14,128.949997,130.259995,128.389999,129.149994,83119400,128.250174
2016-11-11,125.029999,127.720001,124.550003,127.360001,95612800,126.472652
2016-11-10,124.260002,125.400002,122.620003,124.50,83440700,123.632578
2016-11-09,118.080002,122.830002,118.050003,122.540001,77416800,121.686235
2016-11-08,118.300003,119.459999,117.709999,118.879997,26196800,118.051731
2016-11-07,118.00,118.82,117.709999,118.57,32370900,117.743893
2016-11-04,115.300003,116.900002,115.050003,115.739998,35237200,114.933609
2016-11-03,115.910004,116.239998,114.879997,115.00,22717500,114.198767
2016-11-02,116.870003,117.00,115.389999,115.559998,29859900,114.754863
2016-11-01,118.660004,118.699997,116.279999,117.050003,34147200,116.234487
2016-10-31,118.18,118.639999,117.800003,118.50,20311800,117.674381
2016-10-28,118.309998,119.029999,117.75,118.029999,35473700,117.207655
2016-10-27,120.120003,120.139999,118.089996,118.360001,29525700,117.535357
2016-10-26,120.110001,121.00,119.459999,119.730003,24975300,118.895815
