Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,28.15,28.17,27.98,28.07,586900,28.07
2016-12-29,28.18,28.379999,28.18,28.27,753000,28.27
2016-12-28,28.00,28.049999,27.91,27.940001,407600,27.940001
2016-12-27,27.84,28.00,27.84,27.940001,319800,27.940001
2016-12-23,27.719999,27.870001,27.67,27.870001,421200,27.870001
2016-12-22,27.879999,27.889999,27.58,27.700001,836400,27.700001
2016-12-21,28.10,28.17,27.969999,27.969999,420800,27.969999
2016-12-20,29.26,29.360001,29.17,29.190001,582300,27.934001
2016-12-19,29.33,29.40,29.23,29.25,445000,27.991419
2016-12-16,29.389999,29.48,29.25,29.40,397200,28.134964
2016-12-15,29.52,29.52,29.209999,29.35,1019000,28.087116
2016-12-14,29.75,29.959999,29.299999,29.33,1137100,28.067977
2016-12-13,29.93,30.209999,29.879999,30.059999,551600,28.766565
2016-12-12,29.98,30.10,29.889999,29.99,1109400,28.699578
2016-12-09,29.889999,30.08,29.799999,30.040001,921400,28.747427
2016-12-08,29.879999,30.110001,29.85,30.07,1166100,28.776135
2016-12-07,29.639999,29.940001,29.629999,29.91,1014200,28.62302
2016-12-06,29.629999,29.639999,29.50,29.540001,1098900,28.268942
2016-12-05,29.440001,29.74,29.440001,29.559999,520000,28.28808
2016-12-02,29.48,29.67,29.360001,29.389999,739300,28.125394
2016-12-01,29.52,29.52,29.24,29.299999,443100,28.039267
2016-11-30,29.35,29.40,29.280001,29.290001,689000,28.029699
2016-11-29,29.219999,29.389999,29.139999,29.370001,339400,28.106256
2016-11-28,29.42,29.42,29.26,29.34,214100,28.077546
2016-11-25,29.35,29.450001,29.35,29.440001,179800,28.173244
2016-11-23,29.35,29.440001,29.17,29.40,616600,28.134964
2016-11-22,29.799999,30.040001,29.629999,29.93,1044200,28.64216
2016-11-21,30.00,30.120001,29.709999,29.83,415700,28.546462
2016-11-18,29.82,29.860001,29.51,29.58,378500,28.307219
2016-11-17,29.83,30.030001,29.709999,29.76,570500,28.479475
2016-11-16,29.58,29.90,29.50,29.860001,558100,28.575172
2016-11-15,30.00,30.469999,29.950001,30.35,1014400,29.044088
2016-11-14,29.68,29.90,29.40,29.68,1108100,28.402917
2016-11-11,29.530001,29.629999,28.48,28.57,2504500,27.340678
2016-11-10,30.51,30.709999,29.530001,30.07,1977700,28.776135
2016-11-09,31.450001,31.60,30.83,30.879999,1706900,29.551282
2016-11-08,31.74,32.27,31.610001,32.16,913300,30.776206
2016-11-07,31.469999,31.93,31.389999,31.860001,865900,30.489115
2016-11-04,7.88,7.88,7.81,7.83,367600,29.97235
2016-11-03,7.92,7.94,7.86,7.88,328100,30.163745
2016-11-02,7.96,7.98,7.90,7.95,523700,30.431696
2016-11-01,8.03,8.03,7.92,7.97,648400,30.508253
2016-10-31,7.97,8.01,7.96,7.98,224300,30.546533
2016-10-28,7.99,8.02,7.93,7.96,328700,30.469975
2016-10-27,8.04,8.06,7.95,7.97,352200,30.508253
2016-10-26,8.08,8.12,8.06,8.09,256900,30.967601
2016-10-25,8.09,8.11,8.06,8.10,136800,31.005881
2016-10-24,8.10,8.10,8.05,8.10,214800,31.005881
2016-10-21,8.03,8.07,8.01,8.05,157400,30.814486
2016-10-20,8.05,8.07,8.01,8.03,239900,30.737926
2016-10-19,8.05,8.09,8.02,8.07,263400,30.891042
2016-10-18,8.01,8.04,7.98,8.02,166500,30.69965
2016-10-17,7.93,7.93,7.89,7.90,302200,30.240302
2016-10-14,7.97,8.00,7.92,7.94,195800,30.393418
2016-10-13,7.95,8.00,7.89,7.98,385300,30.546533
2016-10-12,7.99,8.02,7.95,8.00,382200,30.623091
2016-10-11,8.05,8.06,7.97,8.00,429800,30.623091
2016-10-10,8.11,8.16,8.10,8.14,172500,31.158996
2016-10-07,8.13,8.14,8.03,8.07,370500,30.891042
2016-10-06,8.04,8.12,8.01,8.10,471800,31.005881
2016-10-05,8.10,8.11,8.04,8.10,240500,31.005881
2016-10-04,8.12,8.14,7.97,8.02,814600,30.69965
2016-10-03,8.13,8.16,8.10,8.15,269900,31.197272
2016-09-30,8.09,8.12,8.05,8.11,563100,31.044157
2016-09-29,8.19,8.21,8.08,8.11,573900,31.044157
2016-09-28,8.12,8.20,8.07,8.19,548200,31.350388
2016-09-27,8.08,8.11,8.05,8.11,459700,31.044157
2016-09-26,8.15,8.16,8.10,8.10,256600,31.005881
2016-09-23,8.22,8.23,8.14,8.17,315200,31.273832
2016-09-22,8.23,8.27,8.21,8.23,446300,31.503503
2016-09-21,8.03,8.22,8.03,8.20,616100,31.388667
2016-09-20,8.03,8.05,7.99,8.00,272500,30.623091
2016-09-19,8.03,8.07,8.01,8.01,417100,30.66137
2016-09-16,8.03,8.04,7.98,8.04,327700,30.776206
2016-09-15,8.00,8.10,7.97,8.08,566700,30.929321
2016-09-14,8.02,8.06,7.98,7.98,821800,30.546533
2016-09-13,8.14,8.15,8.00,8.06,831800,30.852766
2016-09-12,8.03,8.21,8.01,8.17,473300,31.273832
2016-09-09,8.21,8.21,8.10,8.11,739100,31.044157
2016-09-08,8.35,8.36,8.28,8.29,528200,31.733178
2016-09-07,8.34,8.34,8.30,8.34,517200,31.924573
2016-09-06,8.31,8.35,8.26,8.31,1565500,31.809737
2016-09-02,8.25,8.30,8.22,8.24,274500,31.541783
2016-09-01,8.16,8.20,8.12,8.18,301700,31.312111
2016-08-31,8.25,8.25,8.17,8.18,778800,31.312111
2016-08-30,8.31,8.36,8.26,8.27,448400,31.656622
2016-08-29,8.35,8.40,8.32,8.40,244700,32.154244
2016-08-26,8.43,8.55,8.30,8.35,866900,31.962852
2016-08-25,8.38,8.41,8.34,8.40,592600,32.154244
2016-08-24,8.36,8.38,8.32,8.38,807400,32.077688
2016-08-23,8.39,8.40,8.30,8.32,417900,31.848013
2016-08-22,8.38,8.40,8.34,8.36,876100,32.001129
2016-08-19,8.39,8.45,8.37,8.43,350900,32.269083
2016-08-18,8.43,8.52,8.42,8.52,383600,32.613593
2016-08-17,8.44,8.46,8.35,8.44,374600,32.307359
2016-08-16,8.48,8.51,8.46,8.51,335700,32.575314
2016-08-15,8.44,8.49,8.44,8.45,188600,32.345639
2016-08-12,8.38,8.40,8.35,8.37,286500,32.039408
2016-08-11,8.39,8.47,8.37,8.45,361300,32.345639
2016-08-10,8.40,8.41,8.34,8.35,246200,31.962852
2016-08-09,8.31,8.34,8.28,8.32,219000,31.848013
2016-08-08,8.27,8.30,8.26,8.27,261800,31.656622
2016-08-05,8.21,8.25,8.20,8.24,496200,31.541783
2016-08-04,8.17,8.24,8.15,8.20,360100,31.388667
2016-08-03,8.10,8.19,8.09,8.18,185500,31.312111
2016-08-02,8.19,8.23,8.10,8.15,793000,31.197272
2016-08-01,8.28,8.28,8.19,8.20,275300,31.388667
2016-07-29,8.16,8.23,8.14,8.21,337500,31.426947
2016-07-28,8.17,8.19,8.14,8.18,165200,31.312111
2016-07-27,8.13,8.19,8.08,8.18,315900,31.312111
2016-07-26,8.15,8.19,8.13,8.16,166800,31.235552
2016-07-25,8.19,8.21,8.13,8.14,167400,31.158996
2016-07-22,8.16,8.18,8.15,8.18,140400,31.312111
2016-07-21,8.17,8.18,8.13,8.16,383800,31.235552
2016-07-20,8.25,8.30,8.22,8.30,547700,31.771457
2016-07-19,8.33,8.33,8.28,8.30,265400,31.771457
2016-07-18,8.37,8.39,8.35,8.39,736800,32.115968
2016-07-15,8.48,8.48,8.37,8.41,375600,32.192524
2016-07-14,8.44,8.51,8.42,8.48,969000,32.460474
2016-07-13,8.39,8.41,8.33,8.38,506900,32.077688
2016-07-12,8.33,8.38,8.31,8.36,275900,32.001129
2016-07-11,8.27,8.32,8.25,8.25,790900,31.580062
2016-07-08,8.17,8.25,8.17,8.24,503800,31.541783
2016-07-07,8.19,8.22,8.09,8.11,502600,31.044157
2016-07-06,8.05,8.13,7.99,8.12,414900,31.082437
2016-07-05,8.19,8.20,8.09,8.12,354200,31.082437
2016-07-01,8.24,8.32,8.24,8.28,550200,31.694898
2016-06-30,8.24,8.29,8.19,8.29,670500,31.733178
2016-06-29,8.15,8.22,8.15,8.20,500600,31.388667
2016-06-28,7.99,8.04,7.96,8.02,490300,30.69965
2016-06-27,7.86,7.86,7.72,7.82,826800,29.934072
2016-06-24,7.91,8.09,7.86,7.89,1177800,30.202023
2016-06-23,8.20,8.32,8.18,8.30,371900,31.771457
2016-06-22,8.14,8.18,8.10,8.12,451400,31.082437
2016-06-21,8.17,8.22,8.14,8.20,386500,30.986738
2016-06-20,8.09,8.15,8.08,8.08,392100,30.533274
2016-06-17,7.98,7.99,7.91,7.96,415600,30.07981
2016-06-16,7.90,7.98,7.82,7.97,391200,30.117598
2016-06-15,7.99,8.06,7.97,7.97,508200,30.117598
2016-06-14,7.97,8.01,7.90,7.97,524000,30.117598
2016-06-13,7.99,8.05,7.97,8.00,1004200,30.230965
2016-06-10,8.10,8.11,8.00,8.01,332900,30.268754
2016-06-09,8.19,8.19,8.14,8.17,289100,30.873373
2016-06-08,8.28,8.33,8.26,8.28,216200,31.289047
2016-06-07,8.27,8.29,8.23,8.23,617600,31.100103
2016-06-06,8.13,8.24,8.13,8.23,519200,31.100103
2016-06-03,8.03,8.12,7.98,8.09,922300,30.571064
2016-06-02,7.89,7.92,7.84,7.89,654600,29.815288
2016-06-01,7.85,7.90,7.82,7.86,392300,29.701923
2016-05-31,7.95,7.96,7.92,7.92,544200,29.928655
2016-05-27,8.09,8.13,8.05,8.06,246500,30.457698
2016-05-26,8.10,8.14,8.06,8.11,336900,30.646639
2016-05-25,8.00,8.07,7.99,8.06,426800,30.457698
2016-05-24,7.95,8.04,7.94,8.00,414600,30.230965
2016-05-23,8.01,8.06,7.99,8.00,317700,30.230965
2016-05-20,8.02,8.05,8.02,8.02,243400,30.306544
2016-05-19,7.99,8.02,7.96,8.01,507500,30.268754
2016-05-18,8.06,8.13,7.98,8.04,724800,30.382119
2016-05-17,8.10,8.14,8.06,8.08,618400,30.533274
2016-05-16,8.06,8.10,8.06,8.06,259700,30.457698
2016-05-13,8.08,8.10,8.01,8.05,420200,30.419909
2016-05-12,8.25,8.27,8.17,8.17,417800,30.873373
2016-05-11,8.15,8.25,8.15,8.19,398000,30.948948
2016-05-10,8.04,8.13,8.04,8.12,451900,30.684429
2016-05-09,8.10,8.12,8.03,8.04,1042400,30.382119
2016-05-06,8.19,8.29,8.19,8.22,580600,31.062317
2016-05-05,8.22,8.25,8.14,8.17,625300,30.873373
2016-05-04,8.27,8.30,8.16,8.21,987900,31.024528
2016-05-03,8.32,8.34,8.23,8.25,960600,31.175682
2016-05-02,8.54,8.56,8.51,8.54,462500,32.271555
2016-04-29,8.59,8.62,8.48,8.55,792900,32.309344
2016-04-28,8.63,8.73,8.59,8.67,532100,32.762808
2016-04-27,8.65,8.75,8.59,8.73,1082700,32.989538
2016-04-26,8.67,8.70,8.65,8.70,392200,32.876173
2016-04-25,8.80,8.83,8.75,8.76,193900,33.102907
2016-04-22,8.80,8.87,8.78,8.80,486600,33.254062
2016-04-21,8.88,8.88,8.74,8.78,925800,33.178483
2016-04-20,8.91,8.95,8.87,8.91,621500,33.669736
2016-04-19,8.90,9.01,8.89,8.98,851100,33.934256
2016-04-18,8.77,8.87,8.71,8.84,686000,33.405217
2016-04-15,8.90,8.90,8.84,8.85,352000,33.443006
2016-04-14,8.90,8.94,8.89,8.90,269400,33.631947
2016-04-13,8.93,8.97,8.89,8.95,737300,33.820891
2016-04-12,8.84,9.00,8.82,8.96,702100,33.858681
2016-04-11,8.85,8.90,8.84,8.86,489300,33.480792
2016-04-08,8.84,8.87,8.76,8.79,449300,33.216272
2016-04-07,8.77,8.77,8.64,8.66,414600,32.725019
2016-04-06,8.73,8.90,8.72,8.89,1056200,33.594161
2016-04-05,8.76,8.79,8.70,8.71,537400,32.913963
2016-04-04,8.89,8.90,8.82,8.82,342100,33.329637
2016-04-01,8.72,8.90,8.69,8.90,1195000,33.631947
2016-03-31,8.90,8.97,8.87,8.91,544900,33.669736
