Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,105.779999,105.779999,104.589996,104.900002,1570500,104.592921
2016-12-29,105.589996,105.800003,105.330002,105.57,1492900,105.260958
2016-12-28,106.449997,106.50,105.480003,105.540001,1273200,105.231047
2016-12-27,106.059998,106.709999,106.059998,106.300003,1673500,105.988824
2016-12-23,105.800003,106.010002,105.709999,105.980003,1207700,105.669761
2016-12-22,106.139999,106.169998,105.559998,105.809998,1952300,105.500253
2016-12-21,106.82,106.870003,106.580002,106.599998,1762800,105.866179
2016-12-20,106.779999,106.919998,106.639999,106.870003,2596800,106.134325
2016-12-19,106.449997,106.93,106.279999,106.519997,2764600,105.786728
2016-12-16,106.660004,106.739998,106.029999,106.239998,2063300,105.508657
2016-12-15,106.190002,106.919998,106.160004,106.43,4816300,105.697351
2016-12-14,106.68,107.00,105.900002,106.139999,3328300,105.409347
2016-12-13,106.169998,107.040001,106.169998,106.709999,2108300,105.975422
2016-12-12,105.980003,106.110001,105.580002,105.900002,2149400,105.171001
2016-12-09,105.739998,106.269997,105.739998,106.230003,2377300,105.498731
2016-12-08,105.470001,105.830002,105.209999,105.580002,2074300,104.853204
2016-12-07,104.019997,105.480003,103.760002,105.410004,2132000,104.684376
2016-12-06,104.019997,104.160004,103.730003,104.129997,2738600,103.413181
2016-12-05,103.639999,104.040001,103.419998,103.779999,3631900,103.065592
2016-12-02,102.93,103.440002,102.839996,103.150002,3569800,102.439931
2016-12-01,104.059998,104.059998,102.790001,103.00,3697900,102.290962
2016-11-30,105.099998,105.18,103.970001,103.970001,2278000,103.254286
2016-11-29,104.75,105.279999,104.629997,104.980003,1501500,104.257336
2016-11-28,104.870003,105.040001,104.589996,104.629997,1416400,103.909739
2016-11-25,104.959999,105.099998,104.82,105.099998,584800,104.376505
2016-11-23,104.43,104.709999,104.269997,104.669998,1624700,103.949465
2016-11-22,104.720001,104.879997,104.410004,104.790001,2169100,104.068641
2016-11-21,103.949997,104.540001,103.730003,104.480003,2536300,103.760778
2016-11-18,104.120003,104.25,103.589996,103.650002,2400500,102.936489
2016-11-17,103.400002,104.059998,103.260002,104.040001,2342600,103.323804
2016-11-16,102.720001,103.339996,102.599998,103.339996,1986900,102.628618
2016-11-15,102.529999,103.099998,102.50,102.980003,2263900,102.271103
2016-11-14,102.93,102.959999,101.879997,102.190002,1934300,101.486541
2016-11-11,102.68,102.800003,102.160004,102.699997,2609700,101.993025
2016-11-10,103.50,103.870003,101.849998,102.699997,3566700,101.993025
2016-11-09,101.339996,103.370003,101.190002,103.150002,2427300,102.439931
2016-11-08,101.699997,102.779999,101.610001,102.43,1317300,101.724887
2016-11-07,101.150002,101.980003,101.080002,101.980003,3015600,101.277987
2016-11-04,99.620003,100.389999,99.57,99.720001,1330000,99.033543
2016-11-03,100.379997,100.629997,99.589996,99.75,1284600,99.063335
2016-11-02,100.830002,101.199997,100.239998,100.400002,1690900,99.708862
2016-11-01,101.82,102.00,100.349998,101.040001,2477000,100.344456
2016-10-31,102.089996,102.089996,101.699997,101.739998,1396700,101.039634
2016-10-28,101.989998,102.519997,101.550003,101.779999,2385400,101.07936
2016-10-27,103.07,103.07,102.129997,102.220001,1444400,101.516333
2016-10-26,102.650002,103.07,102.440002,102.629997,912800,101.923507
2016-10-25,103.660004,103.660004,103.129997,103.199997,2128700,102.489583
2016-10-24,103.559998,103.900002,103.559998,103.75,1084000,103.0358
2016-10-21,102.480003,103.150002,102.480003,103.099998,1293400,102.390273
2016-10-20,102.809998,103.040001,102.389999,102.800003,1429500,102.092342
2016-10-19,102.82,103.089996,102.660004,102.940002,700800,102.231378
2016-10-18,102.82,103.07,102.580002,102.739998,663700,102.03275
2016-10-17,102.300003,102.43,101.949997,102.059998,1564900,101.357431
2016-10-14,102.870003,103.120003,102.360001,102.379997,2059700,101.675228
2016-10-13,101.889999,102.650002,101.50,102.339996,1943200,101.635502
2016-10-12,102.529999,102.949997,102.300003,102.629997,1010400,101.923507
2016-10-11,103.510002,103.599998,102.07,102.43,1154300,101.724887
2016-10-10,103.739998,104.019997,103.639999,103.720001,753800,103.006007
2016-10-07,103.809998,103.889999,102.870003,103.309998,1288600,102.598826
2016-10-06,103.610001,103.93,103.309998,103.769997,1019600,103.055659
2016-10-05,103.730003,103.970001,103.660004,103.68,990700,102.966282
2016-10-04,104.120003,104.25,103.190002,103.529999,1563800,102.817313
2016-10-03,103.949997,104.110001,103.629997,103.919998,1831300,103.204627
2016-09-30,103.949997,104.540001,103.68,104.169998,1408100,103.452907
2016-09-29,104.360001,104.599998,103.300003,103.529999,1475900,102.817313
2016-09-28,104.360001,104.529999,103.889999,104.419998,1267500,103.701186
2016-09-27,103.589996,104.309998,103.349998,104.300003,1093000,103.582016
2016-09-26,103.900002,103.919998,103.419998,103.550003,1062700,102.837179
2016-09-23,104.879997,105.029999,104.57,104.629997,1005200,103.591943
2016-09-22,104.900002,105.279999,104.849998,105.139999,1200500,104.096885
2016-09-21,103.599998,104.459999,103.169998,104.349998,3444500,103.314722
2016-09-20,103.559998,103.790001,103.25,103.32,1593000,102.294942
2016-09-19,103.540001,103.940002,102.980003,103.160004,877900,102.136533
2016-09-16,103.169998,103.389999,102.889999,103.279999,1043000,102.255338
2016-09-15,102.379997,103.699997,102.269997,103.57,2628300,102.542462
2016-09-14,102.279999,103.00,102.139999,102.410004,2242300,101.393974
2016-09-13,102.870003,103.089996,101.860001,102.220001,3510700,101.205857
2016-09-12,101.599998,103.650002,101.459999,103.440002,3000900,102.413754
2016-09-09,103.769997,103.900002,102.010002,102.040001,2636200,101.027642
2016-09-08,104.790001,104.900002,104.370003,104.589996,1701700,103.552339
2016-09-07,104.989998,105.18,104.720001,105.099998,1976400,104.057281
2016-09-06,104.839996,105.129997,104.529999,105.120003,1513900,104.077087
2016-09-02,104.760002,105.00,104.410004,104.790001,1089600,103.750359
2016-09-01,104.220001,104.389999,103.690002,104.349998,2414700,103.314722
2016-08-31,104.230003,104.309998,103.790001,104.18,1704500,103.14641
2016-08-30,104.650002,104.800003,104.120003,104.379997,1378400,103.344423
2016-08-29,104.519997,104.940002,104.510002,104.779999,921900,103.740456
2016-08-26,104.620003,105.269997,103.959999,104.440002,2000200,103.403833
2016-08-25,104.489998,104.940002,104.389999,104.57,1238200,103.532541
2016-08-24,105.370003,105.470001,104.550003,104.779999,2012700,103.740456
2016-08-23,105.529999,105.75,105.440002,105.459999,1605900,104.41371
2016-08-22,105.00,105.339996,104.849998,105.230003,1099100,104.185996
2016-08-19,104.779999,105.160004,104.68,105.07,936800,104.02758
2016-08-18,104.989998,105.209999,104.889999,105.099998,976900,104.057281
2016-08-17,104.919998,105.139999,104.400002,105.010002,844000,103.968178
2016-08-16,105.379997,105.50,104.910004,104.949997,1385000,103.908768
2016-08-15,105.519997,105.870003,105.300003,105.68,1066300,104.631529
2016-08-12,105.269997,105.449997,105.120003,105.330002,1032500,104.285003
2016-08-11,105.290001,105.620003,105.120003,105.449997,1635000,104.403807
2016-08-10,105.160004,105.220001,104.809998,104.980003,1471600,103.938476
2016-08-09,105.059998,105.440002,104.980003,105.150002,2800900,104.106788
2016-08-08,105.260002,105.260002,104.779999,104.949997,855600,103.908768
2016-08-05,104.860001,105.279999,104.620003,105.160004,3659200,104.116691
2016-08-04,104.470001,104.790001,104.290001,104.639999,1117300,103.601846
2016-08-03,104.209999,104.480003,104.040001,104.440002,1231900,103.403833
2016-08-02,104.870003,104.93,103.830002,104.260002,2686800,103.225619
2016-08-01,104.690002,105.279999,104.57,105.00,2249500,103.958275
2016-07-29,104.580002,104.940002,104.300003,104.720001,1930900,103.681054
2016-07-28,104.269997,104.68,104.019997,104.57,1882600,103.532541
2016-07-27,104.489998,104.50,103.839996,104.269997,2189400,103.235514
2016-07-26,104.089996,104.419998,103.699997,104.089996,1573700,103.057299
2016-07-25,104.25,104.269997,103.839996,104.18,1230900,103.14641
2016-07-22,103.889999,104.370003,103.699997,104.279999,939100,103.245417
2016-07-21,104.190002,104.339996,103.57,103.879997,902100,102.849384
2016-07-20,103.910004,104.400002,103.790001,104.230003,3492700,103.195917
2016-07-19,103.349998,103.610001,103.290001,103.529999,1574700,102.502858
2016-07-18,103.419998,103.779999,103.349998,103.68,1479400,102.651371
2016-07-15,103.779999,103.949997,103.150002,103.269997,2009400,102.245435
2016-07-14,103.550003,103.709999,103.239998,103.459999,1063100,102.433552
2016-07-13,103.330002,103.389999,102.849998,102.980003,2249200,101.958319
2016-07-12,103.00,103.269997,102.839996,103.110001,2033500,102.087026
