Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,24.74,25.790001,24.73,25.51,33506800,25.51
2016-12-29,24.700001,25.34,24.48,25.00,26478800,25.00
2016-12-28,23.700001,24.690001,23.620001,24.620001,28194500,24.620001
2016-12-27,24.110001,24.139999,23.719999,23.82,14016200,23.82
2016-12-23,24.35,24.48,24.10,24.15,14080100,24.15
2016-12-22,23.84,24.389999,23.74,24.27,23696000,24.27
2016-12-21,24.09,24.16,23.799999,23.83,20706000,23.83
2016-12-20,24.48,24.540001,24.10,24.25,25677900,24.25
2016-12-19,25.33,25.34,24.67,24.719999,28318200,24.719999
2016-12-16,25.59,25.99,25.450001,25.610001,30014500,25.610001
2016-12-15,25.92,26.32,25.719999,25.969999,31925300,25.969999
2016-12-14,26.549999,26.65,25.540001,26.309999,61242500,26.309999
2016-12-13,26.110001,26.870001,26.02,26.41,29648700,26.41
2016-12-12,26.00,26.450001,25.93,26.17,26443100,26.17
2016-12-09,26.50,26.540001,25.879999,25.969999,29789300,25.969999
2016-12-08,26.26,27.18,26.10,26.280001,45368900,26.280001
2016-12-07,26.02,26.370001,25.51,26.219999,40282700,26.219999
2016-12-06,26.549999,26.75,26.00,26.15,29614400,26.15
2016-12-05,27.959999,28.08,26.959999,27.030001,37618700,27.030001
2016-12-02,29.120001,29.280001,28.15,28.969999,34417600,28.969999
2016-12-01,27.83,29.48,27.73,28.959999,37704600,28.959999
2016-11-30,27.48,28.040001,27.40,27.889999,31634200,27.889999
2016-11-29,28.09,28.360001,27.48,27.879999,23577100,27.879999
2016-11-28,28.15,28.549999,27.83,28.059999,27225200,28.059999
2016-11-25,27.93,28.200001,27.790001,27.82,9939400,27.82
2016-11-23,28.200001,28.450001,27.879999,27.98,24961200,27.98
2016-11-22,27.76,28.559999,27.639999,27.91,32275000,27.91
2016-11-21,28.719999,28.74,27.709999,27.780001,27309100,27.780001
2016-11-18,29.17,29.559999,28.889999,29.059999,33977600,29.059999
2016-11-17,30.049999,30.16,29.209999,29.23,30377900,29.23
2016-11-16,30.530001,30.559999,29.790001,30.10,33266400,30.10
2016-11-15,30.950001,31.33,29.940001,29.940001,35063700,29.940001
2016-11-14,31.60,32.459999,31.129999,31.290001,42433500,31.290001
2016-11-11,32.68,33.09,31.299999,31.440001,47981600,31.440001
2016-11-10,30.459999,33.27,30.190001,32.16,88606500,32.16
