Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,21.200001,21.290001,21.15,21.219999,7718400,21.219999
2016-12-29,21.08,21.27,21.059999,21.16,7783400,21.16
2016-12-28,21.030001,21.139999,20.99,21.02,4992900,21.02
2016-12-27,20.82,21.030001,20.82,20.969999,10017400,20.965
2016-12-23,20.42,20.610001,20.42,20.59,3851600,20.585091
2016-12-22,20.639999,20.68,20.559999,20.58,8642200,20.575093
2016-12-21,20.99,21.030001,20.690001,20.700001,6612900,20.695065
2016-12-20,20.870001,20.969999,20.84,20.93,10667100,20.92501
2016-12-19,20.879999,20.879999,20.60,20.629999,8735200,20.625081
2016-12-16,21.25,21.379999,20.90,21.10,13582500,20.761049
2016-12-15,21.07,21.40,21.030001,21.309999,13201300,20.967675
2016-12-14,21.360001,21.52,20.790001,20.82,27736800,20.485546
2016-12-13,21.59,21.99,21.57,21.82,19257600,21.469482
2016-12-12,21.389999,21.620001,21.33,21.43,22685700,21.085748
2016-12-09,20.82,21.040001,20.790001,21.030001,13225000,20.692174
2016-12-08,20.59,21.00,20.57,20.950001,17706400,20.613459
2016-12-07,20.17,20.50,20.15,20.48,11399000,20.151008
2016-12-06,20.129999,20.280001,20.10,20.26,9816700,19.934543
2016-12-05,20.07,20.33,20.07,20.15,11614000,19.826309
2016-12-02,19.700001,19.90,19.690001,19.84,8727700,19.521289
2016-12-01,19.75,19.799999,19.620001,19.700001,9544700,19.383539
2016-11-30,19.35,19.68,19.34,19.610001,25128700,19.294985
2016-11-29,19.01,19.030001,18.860001,18.940001,8522600,18.635747
2016-11-28,19.219999,19.360001,19.110001,19.139999,15785200,18.832534
2016-11-25,19.280001,19.299999,19.15,19.190001,5637600,18.881731
2016-11-23,19.129999,19.34,19.07,19.299999,5921800,18.989963
2016-11-22,19.24,19.370001,19.10,19.33,8780700,19.019482
2016-11-21,19.110001,19.200001,19.059999,19.129999,10974400,18.822694
2016-11-18,18.68,18.84,18.67,18.780001,7127900,18.478318
2016-11-17,18.790001,18.93,18.700001,18.700001,8975800,18.399603
2016-11-16,18.549999,18.74,18.469999,18.60,11050700,18.301209
2016-11-15,18.34,18.799999,18.32,18.780001,19650300,18.478318
2016-11-14,18.120001,18.26,17.92,18.24,15183400,17.946992
2016-11-11,18.389999,18.41,18.049999,18.35,11289800,18.055225
2016-11-10,19.030001,19.10,18.52,18.530001,16753700,18.232334
2016-11-09,18.620001,18.879999,18.48,18.790001,18509300,18.488157
2016-11-08,18.25,18.469999,18.18,18.34,5567100,18.045386
2016-11-07,18.139999,18.379999,18.10,18.370001,12908300,18.074904
2016-11-04,17.82,17.959999,17.73,17.74,9094200,17.455024
2016-11-03,18.17,18.200001,18.02,18.030001,7987200,17.740366
2016-11-02,18.459999,18.50,18.09,18.200001,11678300,17.907635
2016-11-01,18.700001,18.73,18.459999,18.60,10926400,18.301209
2016-10-31,18.43,18.610001,18.40,18.58,11744700,18.28153
2016-10-28,18.51,18.59,18.33,18.379999,8712300,18.084742
2016-10-27,18.60,18.639999,18.50,18.52,4117500,18.222494
2016-10-26,18.57,18.620001,18.42,18.440001,7042000,18.143779
2016-10-25,18.84,18.84,18.68,18.74,5027100,18.43896
2016-10-24,18.620001,18.68,18.559999,18.68,3587600,18.379924
2016-10-21,18.530001,18.620001,18.50,18.59,4037400,18.29137
2016-10-20,18.57,18.68,18.549999,18.59,4292200,18.29137
2016-10-19,18.639999,18.809999,18.620001,18.73,8784300,18.42912
2016-10-18,18.530001,18.610001,18.459999,18.52,10369900,18.222494
2016-10-17,18.459999,18.48,18.26,18.280001,9078800,17.98635
2016-10-14,18.57,18.60,18.40,18.459999,4050800,18.163457
2016-10-13,18.52,18.65,18.379999,18.559999,7594600,18.261851
2016-10-12,18.700001,18.77,18.65,18.66,6821000,18.360245
2016-10-11,18.959999,18.98,18.799999,18.84,6678300,18.537353
2016-10-10,18.940001,19.129999,18.93,19.040001,5400600,18.734141
2016-10-07,18.950001,18.959999,18.700001,18.799999,6293500,18.497995
2016-10-06,18.860001,19.049999,18.82,19.02,6108100,18.714462
2016-10-05,18.700001,18.879999,18.629999,18.809999,6371200,18.507835
2016-10-04,18.950001,18.950001,18.629999,18.67,7570500,18.370084
2016-10-03,18.90,19.049999,18.809999,19.01,6310000,18.704623
2016-09-30,18.790001,18.84,18.66,18.76,9762400,18.458639
2016-09-29,18.90,19.030001,18.709999,18.76,9235700,18.458639
2016-09-28,18.540001,18.92,18.389999,18.879999,12288200,18.57671
2016-09-27,18.50,18.559999,18.360001,18.43,6628200,18.13394
2016-09-26,18.700001,18.77,18.540001,18.540001,4544600,18.242173
2016-09-23,18.790001,18.860001,18.58,18.610001,9124500,18.311049
2016-09-22,18.91,19.040001,18.879999,18.959999,5784400,18.655425
2016-09-21,18.48,18.76,18.41,18.76,9804800,18.458639
2016-09-20,18.18,18.40,18.139999,18.33,3101000,18.035546
2016-09-19,18.35,18.459999,18.24,18.26,5027900,17.966671
2016-09-16,18.27,18.290001,18.110001,18.16,9324200,17.868277
2016-09-15,18.24,18.48,18.17,18.42,8746700,18.1241
2016-09-14,18.290001,18.450001,18.16,18.17,7784500,17.878116
2016-09-13,18.41,18.450001,18.120001,18.190001,12531800,17.897795
2016-09-12,18.42,18.77,18.379999,18.73,8490100,18.42912
2016-09-09,18.860001,18.870001,18.58,18.59,13108900,18.29137
2016-09-08,19.16,19.34,19.049999,19.120001,8274600,18.812856
2016-09-07,19.18,19.18,19.01,19.129999,5974800,18.822694
2016-09-06,18.860001,19.110001,18.82,19.02,12533500,18.714462
2016-09-02,18.459999,18.59,18.450001,18.549999,8980800,18.252011
2016-09-01,18.129999,18.23,18.01,18.139999,7227800,17.848598
2016-08-31,18.24,18.26,18.059999,18.120001,7955300,17.82892
2016-08-30,18.51,18.57,18.33,18.35,4978600,18.055225
2016-08-29,18.26,18.459999,18.25,18.440001,4616800,18.143779
2016-08-26,18.469999,18.75,18.280001,18.360001,10642300,18.065065
2016-08-25,18.450001,18.57,18.41,18.559999,5258100,18.261851
2016-08-24,18.440001,18.52,18.35,18.469999,7174400,18.173296
2016-08-23,18.620001,18.790001,18.58,18.639999,7059900,18.340566
2016-08-22,18.530001,18.629999,18.459999,18.48,7491800,18.183136
2016-08-19,18.75,18.75,18.629999,18.67,6135300,18.370084
2016-08-18,18.790001,18.959999,18.74,18.870001,6652700,18.566872
2016-08-17,18.809999,18.93,18.66,18.90,5676300,18.596389
2016-08-16,18.85,18.950001,18.74,18.91,5449500,18.606229
2016-08-15,18.85,18.99,18.82,18.959999,8717700,18.655425
2016-08-12,18.559999,18.59,18.43,18.530001,6128400,18.232334
2016-08-11,18.35,18.60,18.33,18.59,11022200,18.29137
2016-08-10,18.549999,18.610001,18.209999,18.23,9643900,17.937152
2016-08-09,18.40,18.57,18.389999,18.450001,5161800,18.153619
2016-08-08,18.42,18.52,18.40,18.43,5801600,18.13394
2016-08-05,18.07,18.23,18.049999,18.23,5697100,17.937152
2016-08-04,17.74,18.139999,17.719999,18.129999,8934900,17.838758
2016-08-03,17.40,17.879999,17.379999,17.84,12660300,17.553418
2016-08-02,17.700001,17.74,17.370001,17.459999,5713500,17.179521
2016-08-01,17.91,17.940001,17.58,17.59,11964800,17.307434
2016-07-29,17.860001,18.08,17.73,18.030001,8192500,17.740366
2016-07-28,17.879999,17.91,17.74,17.889999,4331900,17.602614
2016-07-27,17.91,17.959999,17.620001,17.809999,7545700,17.523899
2016-07-26,17.65,17.889999,17.629999,17.889999,6002100,17.602614
2016-07-25,18.040001,18.040001,17.76,17.790001,9363200,17.504221
2016-07-22,18.040001,18.120001,17.969999,18.10,3872500,17.809241
2016-07-21,18.209999,18.25,18.00,18.01,4971000,17.720687
2016-07-20,17.98,18.24,17.950001,18.16,5110300,17.868277
2016-07-19,18.379999,18.41,18.02,18.07,9287500,17.779722
2016-07-18,18.23,18.48,18.209999,18.48,6147300,18.183136
2016-07-15,18.34,18.360001,18.16,18.309999,5778700,18.015867
2016-07-14,18.23,18.42,18.209999,18.389999,11383600,18.094582
2016-07-13,18.18,18.209999,17.889999,18.059999,9134500,17.769883
2016-07-12,18.049999,18.24,18.01,18.18,10241800,17.887956
2016-07-11,17.76,17.860001,17.709999,17.74,5219300,17.455024
2016-07-08,17.48,17.68,17.42,17.66,11226100,17.376309
2016-07-07,17.58,17.629999,17.110001,17.15,11369300,16.874501
2016-07-06,17.16,17.530001,17.139999,17.51,6893400,17.228719
2016-07-05,17.41,17.440001,17.280001,17.379999,10729100,17.100806
2016-07-01,17.52,17.719999,17.50,17.68,7768500,17.395988
2016-06-30,17.290001,17.549999,17.26,17.42,10660000,17.140164
2016-06-29,17.25,17.52,17.24,17.450001,12129800,17.169683
2016-06-28,16.870001,17.09,16.809999,17.08,15039000,16.805626
2016-06-27,16.66,16.68,16.379999,16.530001,10576100,16.264462
2016-06-24,16.85,17.16,16.74,16.76,26578300,16.490767
2016-06-23,17.48,17.85,17.440001,17.84,19208200,17.553418
2016-06-22,17.43,17.51,17.16,17.17,12627400,16.89418
