Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,12.50,12.52,12.49,12.49,3772300,12.434377
2016-12-29,12.49,12.53,12.48,12.51,2708200,12.454288
2016-12-28,12.48,12.50,12.47,12.50,3725900,12.444332
2016-12-27,12.45,12.51,12.44,12.49,3985200,12.434377
2016-12-23,12.45,12.46,12.43,12.45,2052800,12.394555
2016-12-22,12.45,12.45,12.42,12.45,2394600,12.394555
2016-12-21,12.42,12.46,12.41,12.43,3907100,12.374644
2016-12-20,12.46,12.46,12.40,12.43,5265800,12.374644
2016-12-19,12.43,12.46,12.40,12.44,3780900,12.384599
2016-12-16,12.41,12.48,12.38,12.46,11212100,12.40451
2016-12-15,12.40,12.43,12.39,12.41,3639500,12.354733
2016-12-14,12.40,12.42,12.38,12.38,4049800,12.324867
2016-12-13,12.37,12.42,12.37,12.39,3519500,12.334822
2016-12-12,12.38,12.40,12.36,12.36,6269900,12.304955
2016-12-09,12.40,12.43,12.36,12.38,7242700,12.324867
2016-12-08,12.43,12.45,12.37,12.39,5382900,12.334822
2016-12-07,12.43,12.47,12.42,12.42,5596500,12.309933
2016-12-06,12.40,12.44,12.39,12.41,5800700,12.300021
2016-12-05,12.37,12.42,12.37,12.41,4209900,12.300021
2016-12-02,12.34,12.38,12.34,12.36,5686500,12.250464
2016-12-01,12.36,12.39,12.34,12.35,5481100,12.240554
2016-11-30,12.40,12.41,12.34,12.34,14432100,12.230642
2016-11-29,12.41,12.43,12.35,12.36,7978800,12.250464
2016-11-28,12.39,12.43,12.38,12.40,3537800,12.29011
2016-11-25,12.50,12.50,12.36,12.38,5748800,12.270288
2016-11-23,12.41,12.50,12.40,12.49,4720300,12.379312
2016-11-22,12.38,12.47,12.38,12.40,7650400,12.29011
2016-11-21,12.41,12.45,12.36,12.37,9161200,12.260376
2016-11-18,12.36,12.43,12.36,12.38,3743100,12.270288
2016-11-17,12.40,12.45,12.35,12.36,5666000,12.250464
2016-11-16,12.37,12.46,12.36,12.39,7325200,12.280199
2016-11-15,12.33,12.39,12.29,12.39,6813000,12.280199
2016-11-14,12.32,12.35,12.27,12.35,7448800,12.240554
2016-11-11,12.25,12.35,12.25,12.28,12621700,12.171173
2016-11-10,12.30,12.34,12.16,12.26,14927200,12.151351
2016-11-09,12.28,12.36,12.26,12.29,19920000,12.181085
2016-11-08,12.37,12.38,12.30,12.32,10672700,12.210819
2016-11-07,12.32,12.37,12.30,12.34,12422000,12.230642
2016-11-04,12.35,12.37,12.26,12.28,17228700,12.171173
2016-11-03,12.30,12.42,12.29,12.31,26457600,12.200908
2016-11-02,12.23,12.42,12.23,12.32,105571700,12.210819
2016-11-01,10.68,11.48,10.51,11.24,35981100,11.14039
2016-10-31,8.73,10.88,8.68,10.60,35824900,10.506062
2016-10-28,8.68,8.86,8.67,8.69,4303100,8.612988
2016-10-27,8.84,8.87,8.67,8.68,3882800,8.603077
2016-10-26,8.78,8.83,8.68,8.80,3595800,8.722014
2016-10-25,8.80,8.83,8.68,8.76,1997500,8.682368
2016-10-24,8.76,8.83,8.73,8.79,3387100,8.712102
2016-10-21,8.75,8.77,8.64,8.69,3398700,8.612988
2016-10-20,8.78,8.86,8.72,8.76,2269000,8.682368
2016-10-19,8.73,8.80,8.68,8.77,2472400,8.69228
2016-10-18,8.80,8.81,8.71,8.74,2374100,8.662545
2016-10-17,8.79,8.83,8.65,8.67,3775200,8.593166
2016-10-14,8.82,8.94,8.72,8.75,4804300,8.672457
2016-10-13,8.88,8.96,8.74,8.82,3498600,8.741836
2016-10-12,9.02,9.06,8.86,8.96,3415000,8.880596
2016-10-11,9.30,9.35,9.01,9.03,3697400,8.949975
2016-10-10,9.30,9.52,9.21,9.30,4811000,9.217583
2016-10-07,9.42,9.44,9.21,9.26,5237400,9.177937
2016-10-06,9.52,9.57,9.39,9.40,3282800,9.316696
2016-10-05,9.51,9.64,9.48,9.50,5112100,9.41581
2016-10-04,9.46,9.70,9.40,9.46,8670400,9.376165
2016-10-03,9.23,9.36,9.17,9.31,5616000,9.227494
2016-09-30,9.13,9.29,9.13,9.23,6767800,9.148203
2016-09-29,9.17,9.22,9.09,9.15,3234000,9.068912
2016-09-28,9.21,9.24,9.09,9.18,3561400,9.098646
2016-09-27,9.10,9.25,9.07,9.17,3745400,9.088735
2016-09-26,9.07,9.17,8.99,9.14,4555200,9.059001
2016-09-23,9.11,9.25,9.11,9.14,3759500,9.059001
2016-09-22,9.16,9.16,9.04,9.11,6239800,9.029266
2016-09-21,8.95,9.10,8.72,8.94,10105200,8.860773
2016-09-20,9.09,9.09,8.87,8.88,5436800,8.801305
2016-09-19,8.99,9.20,8.96,9.01,3826300,8.930153
2016-09-16,9.02,9.08,8.91,8.95,14213300,8.870684
2016-09-15,8.89,9.11,8.84,9.11,4404700,9.029266
2016-09-14,8.83,8.85,8.66,8.84,3963800,8.761659
2016-09-13,8.99,9.39,8.67,8.73,6644200,8.652634
2016-09-12,9.07,9.08,8.85,9.04,5969500,8.959887
2016-09-09,9.13,9.30,9.05,9.16,10207100,9.078823
2016-09-08,9.16,9.32,9.12,9.21,11818400,9.12838
2016-09-07,8.99,9.12,8.98,9.10,4695500,9.019355
2016-09-06,9.01,9.05,8.93,9.01,3978600,8.87564
2016-09-02,9.08,9.13,8.96,9.02,3384100,8.885491
2016-09-01,8.99,9.08,8.90,9.06,6197600,8.924895
2016-08-31,9.15,9.22,8.93,8.98,6420200,8.846087
2016-08-30,9.23,9.29,9.08,9.19,6054000,9.052955
2016-08-29,9.24,9.38,9.23,9.25,7804400,9.112061
2016-08-26,10.25,10.30,9.03,9.24,25329200,9.10221
2016-08-25,10.17,10.49,10.12,10.46,8872900,10.304017
2016-08-24,10.31,10.33,10.20,10.21,3734200,10.057745
2016-08-23,10.21,10.33,10.18,10.30,10159300,10.146403
2016-08-22,10.24,10.26,10.08,10.18,4399900,10.028193
2016-08-19,9.94,10.27,9.87,10.24,5963900,10.087298
2016-08-18,9.60,9.98,9.60,9.97,4073900,9.821325
2016-08-17,9.70,9.70,9.52,9.63,3264300,9.486395
2016-08-16,9.74,9.79,9.61,9.71,2888700,9.565202
2016-08-15,9.68,9.84,9.65,9.75,5100400,9.604605
2016-08-12,9.72,9.78,9.67,9.67,3091300,9.525798
2016-08-11,9.70,9.84,9.68,9.72,2162100,9.575053
2016-08-10,9.63,9.70,9.57,9.69,3354800,9.545499
2016-08-09,9.53,9.60,9.49,9.58,2487700,9.43714
2016-08-08,9.48,9.55,9.40,9.52,2898100,9.378035
2016-08-05,9.31,9.50,9.30,9.48,2336900,9.338631
2016-08-04,9.22,9.35,9.18,9.26,2828800,9.121912
2016-08-03,9.02,9.23,9.02,9.23,3667700,9.092359
2016-08-02,9.22,9.25,9.02,9.04,3392600,8.905193
2016-08-01,9.29,9.29,9.14,9.22,4733600,9.082509
2016-07-29,9.30,9.33,9.17,9.30,3736500,9.161316
2016-07-28,9.27,9.33,9.13,9.30,3329600,9.161316
2016-07-27,9.34,9.38,9.22,9.29,3505200,9.151465
2016-07-26,9.16,9.33,9.15,9.31,3895200,9.171167
2016-07-25,9.10,9.19,9.10,9.15,3845100,9.013552
2016-07-22,9.03,9.15,8.96,9.12,2348600,8.984
2016-07-21,9.02,9.07,8.97,9.02,4509100,8.885491
2016-07-20,9.00,9.03,8.88,9.01,8589600,8.87564
2016-07-19,9.09,9.18,8.88,8.92,5957200,8.786982
2016-07-18,9.14,9.19,9.07,9.09,4541000,8.954447
2016-07-15,9.09,9.14,9.01,9.09,5081700,8.954447
2016-07-14,9.56,9.57,8.94,9.09,20493500,8.954447
2016-07-13,9.81,9.84,9.76,9.79,5866600,9.644008
2016-07-12,9.52,9.77,9.50,9.74,6541800,9.594754
2016-07-11,9.45,9.54,9.42,9.50,5482100,9.358333
2016-07-08,9.26,9.43,9.21,9.40,5918200,9.259824
2016-07-07,9.03,9.30,9.02,9.21,6625300,9.072658
2016-07-06,8.99,9.16,8.92,9.09,7762100,8.954447
2016-07-05,9.15,9.18,8.96,9.07,7207600,8.934745
2016-07-01,9.13,9.32,9.13,9.25,6915900,9.112061
2016-06-30,9.07,9.18,8.90,9.18,7761800,9.043105
2016-06-29,8.91,9.14,8.90,9.07,9123200,8.934745
2016-06-28,8.60,8.90,8.59,8.84,9030400,8.708175
2016-06-27,8.76,8.87,8.50,8.52,11579000,8.392948
2016-06-24,9.12,9.24,8.88,8.88,10154800,8.747579
2016-06-23,9.29,9.67,9.26,9.55,10669100,9.407588
2016-06-22,9.20,9.40,9.17,9.24,10778800,9.10221
2016-06-21,8.98,9.22,8.96,9.18,10995700,9.043105
2016-06-20,9.07,9.09,8.88,8.94,8842200,8.806684
2016-06-17,9.03,9.08,8.85,8.98,10169600,8.846087
2016-06-16,8.86,9.05,8.84,9.03,7646100,8.895342
2016-06-15,8.94,8.99,8.82,8.92,8301700,8.786982
2016-06-14,8.82,8.96,8.78,8.86,11263900,8.727877
2016-06-13,8.79,8.97,8.75,8.84,8129800,8.708175
2016-06-10,8.91,8.94,8.83,8.87,7903700,8.737728
2016-06-09,8.95,8.99,8.86,8.97,8405100,8.836237
2016-06-08,9.02,9.16,8.96,8.96,9612400,8.826386
2016-06-07,8.98,9.16,8.97,9.09,7735400,8.900268
2016-06-06,8.82,9.16,8.80,8.98,15663300,8.792563
2016-06-03,8.86,8.89,8.72,8.84,11145900,8.655486
2016-06-02,8.95,9.05,8.85,8.92,18420000,8.733816
2016-06-01,9.00,9.14,8.96,9.02,12405500,8.831729
2016-05-31,8.81,9.22,8.80,9.06,85270100,8.870894
2016-05-27,8.48,8.83,8.40,8.60,17451300,8.420496
2016-05-26,8.37,8.59,8.33,8.58,8356500,8.400913
2016-05-25,8.47,8.51,8.34,8.36,5700600,8.185504
2016-05-24,8.17,8.47,8.14,8.41,9301000,8.234461
2016-05-23,7.97,8.25,7.87,8.16,12218500,7.989679
2016-05-20,7.64,7.99,7.60,7.97,11315900,7.803645
2016-05-19,8.05,8.10,7.89,7.97,4676100,7.803645
2016-05-18,8.10,8.22,8.02,8.08,5071000,7.911349
2016-05-17,7.97,8.07,7.89,8.01,5057700,7.84281
2016-05-16,7.94,8.07,7.85,7.99,3981100,7.823227
2016-05-13,7.94,8.02,7.87,7.92,3531600,7.754689
2016-05-12,8.14,8.14,7.83,7.93,6108600,7.76448
2016-05-11,8.14,8.22,8.07,8.12,5607200,7.950514
2016-05-10,8.04,8.17,7.99,8.16,5362400,7.989679
2016-05-09,8.11,8.18,7.91,8.04,4667800,7.872184
2016-05-06,7.94,8.08,7.88,8.08,5421000,7.911349
2016-05-05,8.22,8.28,7.98,8.02,4489600,7.852602
2016-05-04,8.14,8.29,8.02,8.16,5793600,7.989679
2016-05-03,8.40,8.51,8.09,8.25,11524700,8.077801
2016-05-02,8.67,8.75,8.36,8.51,13744300,8.332374
2016-04-29,9.83,9.86,9.50,9.61,4317100,9.409413
2016-04-28,10.00,10.18,9.85,9.86,5957000,9.654195
2016-04-27,9.73,10.12,9.70,10.06,10123600,9.850022
2016-04-26,9.66,9.76,9.57,9.76,3588300,9.556283
2016-04-25,9.64,9.71,9.57,9.66,3435400,9.45837
2016-04-22,9.50,9.74,9.44,9.69,3959500,9.487744
2016-04-21,9.63,9.69,9.49,9.52,3606000,9.321293
2016-04-20,9.33,9.70,9.26,9.65,8136000,9.448579
2016-04-19,9.43,9.44,9.26,9.28,5189300,9.086302
2016-04-18,9.30,9.42,9.30,9.35,3837700,9.154841
2016-04-15,9.51,9.54,9.35,9.39,3781500,9.194006
2016-04-14,9.63,9.67,9.45,9.49,4675800,9.291918
2016-04-13,9.59,9.73,9.54,9.67,4174300,9.468162
2016-04-12,9.61,9.61,9.37,9.51,7157900,9.311501
2016-04-11,9.63,9.93,9.63,9.71,3450100,9.507327
2016-04-08,9.98,9.98,9.63,9.70,4398900,9.497535
2016-04-07,9.84,10.09,9.72,9.89,11650600,9.68357
2016-04-06,9.57,9.72,9.41,9.68,9925700,9.477953
2016-04-05,9.02,9.58,9.00,9.58,19450500,9.38004
2016-04-04,9.31,9.34,8.88,9.19,33953500,8.99818
2016-04-01,10.51,10.69,10.40,10.64,4009600,10.417915
2016-03-31,10.52,10.67,10.52,10.58,2961700,10.359167
2016-03-30,10.50,10.70,10.50,10.55,3647500,10.329794
2016-03-29,10.22,10.54,10.15,10.46,5003200,10.241672
2016-03-28,10.30,10.32,10.15,10.25,1947500,10.036055
2016-03-24,10.24,10.30,10.02,10.30,3040500,10.085012
2016-03-23,10.48,10.50,10.27,10.33,3607700,10.114385
2016-03-22,10.39,10.64,10.36,10.47,2914900,10.251464
2016-03-21,10.48,10.55,10.34,10.43,2906100,10.212299
2016-03-18,10.39,10.64,10.37,10.48,4213800,10.261254
2016-03-17,10.34,10.40,10.22,10.39,3105300,10.173133
2016-03-16,10.28,10.40,10.17,10.37,3127500,10.15355
2016-03-15,10.22,10.32,10.13,10.17,2542300,9.957725
2016-03-14,10.06,10.34,10.05,10.25,3062000,10.036055
2016-03-11,10.24,10.40,10.20,10.33,3286700,10.114385
2016-03-10,10.18,10.29,10.01,10.15,4032500,9.938142
2016-03-09,10.07,10.29,9.99,10.14,4803600,9.928352
2016-03-08,10.07,10.16,9.91,10.00,2519200,9.791273
2016-03-07,10.13,10.25,10.10,10.21,3480500,9.95283
2016-03-04,10.24,10.34,10.10,10.17,5992500,9.913837
2016-03-03,10.16,10.30,10.09,10.24,3476800,9.982074
2016-03-02,10.10,10.23,10.03,10.22,3715700,9.962578
2016-03-01,9.95,10.23,9.93,10.15,3273400,9.894341
2016-02-29,9.90,10.10,9.83,9.93,3724300,9.679883
2016-02-26,10.00,10.14,9.90,9.93,6015400,9.679883
2016-02-25,9.98,9.99,9.84,9.99,3317900,9.738371
2016-02-24,9.74,9.97,9.66,9.97,4363000,9.718875
2016-02-23,9.74,9.93,9.60,9.87,6298700,9.621393
2016-02-22,9.90,9.90,9.62,9.81,6395300,9.562905
2016-02-19,9.28,9.66,9.27,9.59,8096100,9.348446
2016-02-18,9.38,10.10,9.30,9.67,19652400,9.426431
2016-02-17,8.31,8.58,8.29,8.52,8488000,8.305398
2016-02-16,7.80,8.40,7.70,8.27,5085000,8.061695
2016-02-12,7.73,7.84,7.65,7.81,4659800,7.613281
2016-02-11,7.79,7.84,7.58,7.68,4527000,7.486555
2016-02-10,7.83,7.96,7.77,7.85,3935400,7.652273
2016-02-09,7.84,7.91,7.72,7.77,5135000,7.574289
2016-02-08,7.96,8.06,7.80,7.91,4047000,7.710762
2016-02-05,8.21,8.30,8.05,8.06,3478900,7.856984
2016-02-04,8.06,8.27,8.02,8.24,5641300,8.03245
2016-02-03,7.90,8.11,7.84,8.09,4798600,7.886229
2016-02-02,7.97,8.03,7.81,7.83,2760100,7.632777
2016-02-01,7.92,8.19,7.90,8.06,3989200,7.856984
2016-01-29,7.79,7.98,7.77,7.98,3331400,7.778999
2016-01-28,7.86,7.86,7.71,7.74,2174400,7.545044
2016-01-27,7.94,8.01,7.72,7.78,3637700,7.584037
2016-01-26,7.91,8.09,7.91,7.99,3539200,7.788747
