Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,4.87,4.88,4.78,4.81,12132700,4.81
2016-12-29,4.84,4.87,4.80,4.83,8727500,4.83
2016-12-28,4.86,4.86,4.78,4.80,7737600,4.80
2016-12-27,4.92,4.93,4.90,4.91,6408200,4.91
2016-12-23,4.84,4.89,4.83,4.88,9601000,4.88
2016-12-22,4.75,4.76,4.71,4.72,9568400,4.72
2016-12-21,4.96,4.99,4.67,4.76,29712200,4.76
2016-12-20,4.88,4.92,4.86,4.90,16179900,4.90
2016-12-19,4.93,4.94,4.87,4.89,13512100,4.89
2016-12-16,4.86,4.93,4.84,4.88,13025400,4.88
2016-12-15,4.71,4.77,4.68,4.72,13167800,4.72
2016-12-14,4.74,4.80,4.70,4.70,15046300,4.70
2016-12-13,4.70,4.79,4.70,4.74,12142100,4.74
2016-12-12,4.61,4.67,4.60,4.63,15786400,4.63
2016-12-09,4.60,4.65,4.58,4.62,12008700,4.62
2016-12-08,4.63,4.65,4.56,4.58,22219200,4.58
2016-12-07,4.62,4.73,4.61,4.70,17693900,4.70
2016-12-06,4.54,4.60,4.51,4.57,17922100,4.57
2016-12-05,4.33,4.51,4.32,4.51,18405700,4.51
2016-12-02,4.23,4.26,4.20,4.23,6850800,4.23
2016-12-01,4.30,4.31,4.25,4.25,6892300,4.25
2016-11-30,4.32,4.33,4.29,4.30,10132400,4.30
2016-11-29,4.27,4.31,4.26,4.29,6212700,4.29
2016-11-28,4.28,4.29,4.24,4.26,8109900,4.26
2016-11-25,4.34,4.36,4.31,4.33,8088400,4.33
2016-11-23,4.15,4.20,4.13,4.19,6472600,4.19
2016-11-22,4.17,4.20,4.16,4.19,7696800,4.19
2016-11-21,4.16,4.18,4.14,4.17,6048200,4.17
2016-11-18,4.20,4.21,4.15,4.16,6622300,4.16
2016-11-17,4.19,4.22,4.14,4.15,10605100,4.15
2016-11-16,4.10,4.16,4.10,4.12,13791500,4.12
2016-11-15,4.07,4.15,4.04,4.14,33554400,4.14
2016-11-14,4.32,4.33,4.28,4.31,12618900,4.31
2016-11-11,4.43,4.45,4.36,4.42,11774400,4.42
2016-11-10,4.48,4.53,4.45,4.49,11348300,4.49
2016-11-09,4.36,4.46,4.35,4.45,11156000,4.45
2016-11-08,4.42,4.45,4.37,4.44,10356500,4.44
2016-11-07,4.48,4.49,4.39,4.44,19537400,4.44
2016-11-04,4.32,4.34,4.30,4.31,12411300,4.31
2016-11-03,4.43,4.45,4.38,4.39,16742800,4.39
2016-11-02,4.43,4.48,4.41,4.44,11712400,4.44
2016-11-01,4.45,4.47,4.40,4.44,21474000,4.44
2016-10-31,4.52,4.53,4.47,4.48,14435700,4.48
2016-10-28,4.57,4.62,4.54,4.56,27200200,4.56
2016-10-27,4.79,4.79,4.71,4.73,36409600,4.73
