Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,1.48,1.50,1.48,1.50,5000,1.50
2016-12-29,1.44,1.50,1.44,1.50,8700,1.50
2016-12-28,1.50,1.50,1.49,1.49,8700,1.49
2016-12-27,1.50,1.50,1.50,1.50,000,1.50
2016-12-26,1.50,1.50,1.50,1.50,000,1.50
2016-12-23,1.44,1.50,1.44,1.50,7600,1.50
2016-12-22,1.48,1.48,1.48,1.48,1000,1.48
2016-12-21,1.50,1.50,1.50,1.50,19400,1.50
2016-12-20,1.32,1.49,1.32,1.40,13800,1.40
2016-12-19,1.46,1.46,1.40,1.40,2800,1.40
2016-12-16,1.50,1.50,1.50,1.50,000,1.50
2016-12-15,1.50,1.50,1.50,1.50,100,1.50
2016-12-14,1.48,1.50,1.43,1.43,4400,1.43
2016-12-13,1.50,1.50,1.48,1.48,16300,1.48
2016-12-12,1.48,1.48,1.48,1.48,2700,1.48
2016-12-09,1.46,1.50,1.46,1.48,7700,1.48
2016-12-08,1.46,1.46,1.44,1.44,1200,1.44
2016-12-07,1.45,1.50,1.45,1.50,49900,1.50
2016-12-06,1.48,1.48,1.45,1.45,8300,1.45
2016-12-05,1.49,1.50,1.48,1.50,31800,1.50
2016-12-02,1.49,1.50,1.46,1.46,11400,1.46
2016-12-01,1.50,1.50,1.50,1.50,000,1.50
2016-11-30,1.44,1.50,1.43,1.50,7100,1.50
2016-11-29,1.43,1.50,1.43,1.50,5500,1.50
2016-11-28,1.42,1.50,1.42,1.50,9600,1.50
2016-11-25,1.50,1.50,1.50,1.50,2300,1.50
2016-11-24,1.50,1.50,1.50,1.50,000,1.50
2016-11-23,1.50,1.50,1.50,1.50,3500,1.50
2016-11-22,1.50,1.50,1.50,1.50,1500,1.50
2016-11-21,1.49,1.50,1.49,1.50,3600,1.50
2016-11-18,1.41,1.50,1.41,1.50,12600,1.50
2016-11-17,1.44,1.44,1.43,1.43,9100,1.43
2016-11-16,1.38,1.43,1.38,1.43,4500,1.43
2016-11-15,1.38,1.44,1.32,1.32,11100,1.32
2016-11-14,1.46,1.48,1.40,1.42,2600,1.42
2016-11-11,1.45,1.45,1.36,1.36,11900,1.36
2016-11-10,1.40,1.49,1.40,1.49,4300,1.49
2016-11-09,1.50,1.50,1.50,1.50,000,1.50
2016-11-08,1.48,1.50,1.48,1.50,6300,1.50
2016-11-07,1.40,1.48,1.40,1.48,2000,1.48
2016-11-04,1.48,1.48,1.48,1.48,000,1.48
2016-11-03,1.48,1.48,1.48,1.48,200,1.48
2016-11-02,1.50,1.50,1.50,1.50,5000,1.50
2016-11-01,1.50,1.51,1.50,1.51,1300,1.51
2016-10-31,1.47,1.50,1.45,1.50,3000,1.50
2016-10-28,1.51,1.51,1.51,1.51,4600,1.51
2016-10-27,1.53,1.53,1.42,1.50,4500,1.50
2016-10-26,1.46,1.59,1.45,1.59,11000,1.59
2016-10-25,1.46,1.46,1.46,1.46,1000,1.46
2016-10-24,1.58,1.58,1.58,1.58,1700,1.58
2016-10-21,1.51,1.51,1.47,1.47,2200,1.47
2016-10-20,1.54,1.54,1.54,1.54,500,1.54
2016-10-19,1.45,1.45,1.45,1.45,1000,1.45
2016-10-18,1.47,1.47,1.47,1.47,100,1.47
2016-10-17,1.50,1.50,1.42,1.48,7900,1.48
2016-10-14,1.41,1.53,1.40,1.40,7900,1.40
2016-10-13,1.46,1.46,1.42,1.42,500,1.42
2016-10-12,1.49,1.49,1.40,1.40,5000,1.40
2016-10-11,1.44,1.47,1.44,1.45,6000,1.45
2016-10-10,1.42,1.42,1.42,1.42,000,1.42
2016-10-07,1.42,1.42,1.42,1.42,4800,1.42
2016-10-06,1.48,1.48,1.41,1.41,15500,1.41
2016-10-05,1.54,1.54,1.49,1.49,8300,1.49
2016-10-04,1.52,1.52,1.51,1.51,5300,1.51
2016-10-03,1.65,1.65,1.52,1.56,3300,1.56
2016-09-30,1.53,1.57,1.53,1.57,10500,1.57
2016-09-29,1.55,1.56,1.50,1.56,9500,1.56
2016-09-28,1.56,1.58,1.56,1.58,1600,1.58
2016-09-27,1.65,1.65,1.52,1.52,3000,1.52
2016-09-26,1.65,1.65,1.65,1.65,200,1.65
2016-09-23,1.64,1.64,1.64,1.64,300,1.64
2016-09-22,1.64,1.64,1.58,1.58,1200,1.58
2016-09-21,1.55,1.65,1.48,1.57,12000,1.57
2016-09-20,1.51,1.51,1.51,1.51,1200,1.51
2016-09-19,1.41,1.70,1.41,1.55,44900,1.55
2016-09-16,1.45,1.46,1.36,1.44,30300,1.44
2016-09-15,1.37,1.37,1.37,1.37,400,1.37
2016-09-14,1.43,1.44,1.36,1.36,3300,1.36
2016-09-13,1.42,1.42,1.42,1.42,100,1.42
2016-09-12,1.44,1.44,1.44,1.44,1900,1.44
2016-09-09,1.42,1.44,1.38,1.44,6500,1.44
2016-09-08,1.42,1.46,1.42,1.43,14900,1.43
2016-09-07,1.37,1.41,1.37,1.38,5800,1.38
2016-09-06,1.44,1.44,1.44,1.44,000,1.44
2016-09-05,1.44,1.44,1.44,1.44,000,1.44
2016-09-02,1.44,1.44,1.44,1.44,000,1.44
2016-09-01,1.44,1.44,1.44,1.44,000,1.44
2016-08-31,1.39,1.44,1.39,1.44,6900,1.44
2016-08-30,1.40,1.44,1.38,1.44,13900,1.44
2016-08-29,1.32,1.41,1.32,1.40,6400,1.40
2016-08-26,1.32,1.41,1.32,1.35,11700,1.35
2016-08-25,1.38,1.38,1.38,1.38,000,1.38
2016-08-24,1.38,1.38,1.38,1.38,000,1.38
2016-08-23,1.38,1.38,1.38,1.38,000,1.38
2016-08-22,1.38,1.38,1.38,1.38,1000,1.38
2016-08-19,1.35,1.35,1.34,1.34,17000,1.34
2016-08-18,1.40,1.40,1.35,1.35,8100,1.35
2016-08-17,1.35,1.35,1.35,1.35,800,1.35
2016-08-16,1.40,1.40,1.40,1.40,1000,1.40
2016-08-15,1.40,1.40,1.40,1.40,5000,1.40
2016-08-12,1.50,1.50,1.35,1.40,42900,1.40
2016-08-11,1.52,1.52,1.44,1.44,25200,1.44
2016-08-10,1.47,1.50,1.47,1.50,5100,1.50
2016-08-09,1.46,1.46,1.46,1.46,000,1.46
2016-08-08,1.46,1.46,1.46,1.46,2500,1.46
2016-08-05,1.44,1.44,1.44,1.44,2000,1.44
2016-08-04,1.44,1.44,1.44,1.44,3200,1.44
2016-08-03,1.47,1.47,1.43,1.43,3000,1.43
2016-08-02,1.47,1.47,1.47,1.47,4400,1.47
2016-08-01,1.50,1.50,1.50,1.50,000,1.50
2016-07-29,1.50,1.50,1.47,1.50,8200,1.50
2016-07-28,1.50,1.50,1.50,1.50,11200,1.50
2016-07-27,1.47,1.47,1.44,1.44,2600,1.44
2016-07-26,1.49,1.49,1.49,1.49,100,1.49
2016-07-25,1.46,1.50,1.46,1.46,11500,1.46
2016-07-22,1.46,1.50,1.46,1.46,6600,1.46
2016-07-21,1.50,1.50,1.47,1.50,5100,1.50
2016-07-20,1.50,1.50,1.45,1.50,10500,1.50
2016-07-19,1.47,1.51,1.44,1.51,14800,1.51
2016-07-18,1.47,1.53,1.45,1.52,3000,1.52
2016-07-15,1.49,1.62,1.47,1.62,8800,1.62
2016-07-14,1.43,1.50,1.43,1.50,4300,1.50
2016-07-13,1.45,1.50,1.43,1.48,11600,1.48
2016-07-12,1.44,1.50,1.44,1.50,7600,1.50
2016-07-11,1.46,1.46,1.45,1.45,5000,1.45
2016-07-08,1.46,1.49,1.46,1.46,5800,1.46
2016-07-07,1.50,1.50,1.50,1.50,6100,1.50
2016-07-06,1.49,1.50,1.49,1.50,15100,1.50
2016-07-05,1.46,1.50,1.45,1.45,5700,1.45
2016-07-04,1.47,1.48,1.46,1.48,13100,1.48
2016-07-01,1.51,1.51,1.51,1.51,000,1.51
2016-06-30,1.45,1.51,1.42,1.51,20000,1.51
2016-06-29,1.40,1.46,1.40,1.46,7600,1.46
2016-06-28,1.43,1.43,1.40,1.40,2700,1.40
2016-06-27,1.43,1.43,1.40,1.40,32100,1.40
2016-06-24,1.45,1.45,1.43,1.43,9100,1.43
2016-06-23,1.48,1.50,1.40,1.40,17400,1.40
2016-06-22,1.44,1.44,1.42,1.42,3400,1.42
2016-06-21,1.44,1.44,1.43,1.43,1700,1.43
2016-06-20,1.45,1.45,1.43,1.43,4400,1.43
2016-06-17,1.44,1.45,1.44,1.45,1000,1.45
2016-06-16,1.46,1.50,1.42,1.50,9700,1.50
2016-06-15,1.43,1.44,1.43,1.44,500,1.44
2016-06-14,1.43,1.43,1.42,1.42,6500,1.42
2016-06-13,1.42,1.42,1.42,1.42,000,1.42
2016-06-10,1.43,1.43,1.42,1.42,6000,1.42
2016-06-09,1.42,1.42,1.42,1.42,700,1.42
2016-06-08,1.49,1.49,1.45,1.45,1400,1.45
2016-06-07,1.42,1.42,1.41,1.41,3200,1.41
2016-06-06,1.48,1.48,1.45,1.45,2700,1.45
2016-06-03,1.45,1.48,1.40,1.48,83800,1.48
2016-06-02,1.40,1.49,1.40,1.45,51800,1.45
2016-06-01,1.43,1.49,1.40,1.49,7300,1.49
2016-05-31,1.48,1.48,1.48,1.48,900,1.48
2016-05-30,1.40,1.40,1.40,1.40,300,1.40
2016-05-27,1.50,1.50,1.35,1.42,127600,1.42
2016-05-26,1.46,1.50,1.46,1.50,2300,1.50
2016-05-25,1.45,1.49,1.45,1.49,5000,1.49
2016-05-24,1.49,1.50,1.46,1.46,11600,1.46
2016-05-23,1.46,1.46,1.46,1.46,000,1.46
2016-05-20,1.48,1.48,1.46,1.46,1100,1.46
2016-05-19,1.47,1.47,1.47,1.47,500,1.47
2016-05-18,1.47,1.47,1.47,1.47,300,1.47
2016-05-17,1.48,1.50,1.47,1.47,4300,1.47
2016-05-16,1.49,1.49,1.49,1.49,900,1.49
2016-05-13,1.48,1.50,1.44,1.46,23900,1.46
2016-05-12,1.45,1.45,1.45,1.45,1500,1.45
2016-05-11,1.46,1.46,1.45,1.45,5600,1.45
2016-05-10,1.53,1.54,1.45,1.45,6400,1.45
2016-05-09,1.45,1.45,1.45,1.45,000,1.45
2016-05-06,1.46,1.50,1.44,1.45,5900,1.45
2016-05-05,1.46,1.46,1.46,1.46,2100,1.46
2016-05-04,1.52,1.55,1.52,1.55,6200,1.55
2016-05-03,1.50,1.50,1.50,1.50,2500,1.50
2016-05-02,1.48,1.50,1.47,1.47,4700,1.47
2016-04-29,1.43,1.48,1.43,1.48,4500,1.48
2016-04-28,1.39,1.45,1.38,1.45,11800,1.45
2016-04-27,1.36,1.40,1.35,1.35,3100,1.35
2016-04-26,1.40,1.43,1.35,1.35,7700,1.35
2016-04-25,1.30,1.43,1.30,1.40,5500,1.40
2016-04-22,1.35,1.40,1.35,1.40,900,1.40
2016-04-21,1.40,1.40,1.33,1.35,12800,1.35
2016-04-20,1.37,1.44,1.21,1.40,25200,1.40
2016-04-19,1.40,1.40,1.39,1.40,3100,1.40
2016-04-18,1.45,1.45,1.45,1.45,1000,1.45
2016-04-15,1.57,1.57,1.45,1.45,7000,1.45
2016-04-14,1.49,1.49,1.49,1.49,500,1.49
2016-04-13,1.47,1.49,1.40,1.42,11500,1.42
2016-04-12,1.42,1.46,1.42,1.46,1600,1.46
2016-04-11,1.42,1.42,1.42,1.42,1000,1.42
2016-04-08,1.45,1.45,1.45,1.45,1400,1.45
2016-04-07,1.48,1.48,1.40,1.45,7200,1.45
2016-04-06,1.46,1.46,1.42,1.42,4100,1.42
2016-04-05,1.46,1.46,1.46,1.46,1000,1.46
2016-04-04,1.49,1.49,1.44,1.48,4700,1.48
2016-04-01,1.48,1.54,1.48,1.54,1800,1.54
2016-03-31,1.44,1.47,1.40,1.40,4000,1.40
2016-03-30,1.42,1.50,1.42,1.44,4600,1.44
2016-03-29,1.50,1.57,1.40,1.40,13500,1.40
2016-03-28,1.49,1.50,1.40,1.50,16400,1.50
2016-03-25,1.50,1.50,1.50,1.50,000,1.50
2016-03-24,1.55,1.58,1.42,1.50,12600,1.50
2016-03-23,1.50,1.58,1.50,1.53,11800,1.53
2016-03-22,1.39,1.57,1.39,1.40,3800,1.40
2016-03-21,1.37,1.50,1.37,1.50,3100,1.50
2016-03-18,1.30,1.30,1.30,1.30,600,1.30
2016-03-17,1.25,1.30,1.19,1.21,7500,1.21
2016-03-16,1.39,1.39,1.28,1.28,16800,1.28
2016-03-15,1.34,1.34,1.34,1.34,100,1.34
2016-03-14,1.28,1.32,1.28,1.32,6900,1.32
2016-03-11,1.35,1.35,1.22,1.22,14700,1.22
2016-03-10,1.32,1.37,1.32,1.35,6400,1.35
2016-03-09,1.36,1.36,1.36,1.36,600,1.36
2016-03-08,1.42,1.42,1.38,1.39,10100,1.39
2016-03-07,1.35,1.35,1.32,1.32,11200,1.32
2016-03-04,1.38,1.39,1.35,1.39,1700,1.39
2016-03-03,1.41,1.41,1.40,1.40,1100,1.40
2016-03-02,1.45,1.45,1.41,1.41,23700,1.41
2016-03-01,1.55,1.55,1.55,1.55,000,1.55
2016-02-29,1.47,1.55,1.38,1.55,19900,1.55
2016-02-26,1.55,1.55,1.50,1.50,7500,1.50
2016-02-25,1.55,1.55,1.46,1.46,600,1.46
2016-02-24,1.45,1.45,1.45,1.45,000,1.45
2016-02-23,1.50,1.53,1.45,1.45,20400,1.45
2016-02-22,1.63,1.63,1.59,1.59,2900,1.59
2016-02-19,1.51,1.51,1.51,1.51,1500,1.51
2016-02-18,1.50,1.50,1.50,1.50,000,1.50
2016-02-17,1.50,1.50,1.50,1.50,300,1.50
2016-02-16,1.54,1.54,1.54,1.54,100,1.54
2016-02-15,1.50,1.50,1.50,1.50,000,1.50
2016-02-12,1.45,1.50,1.44,1.50,9900,1.50
2016-02-11,1.49,1.49,1.39,1.45,21900,1.45
2016-02-10,1.59,1.59,1.59,1.59,600,1.59
2016-02-09,1.62,1.62,1.57,1.57,15500,1.57
2016-02-08,1.65,1.70,1.65,1.70,2400,1.70
2016-02-05,1.68,1.68,1.50,1.61,13500,1.61
2016-02-04,1.65,1.65,1.65,1.65,000,1.65
2016-02-03,1.70,1.70,1.53,1.65,6500,1.65
2016-02-02,1.80,1.80,1.80,1.80,000,1.80
2016-02-01,1.80,1.80,1.80,1.80,10000,1.80
2016-01-29,1.84,1.84,1.84,1.84,500,1.84
2016-01-28,1.85,1.85,1.83,1.84,9200,1.84
2016-01-27,1.61,1.61,1.61,1.61,600,1.61
2016-01-26,1.78,1.78,1.78,1.78,100,1.78
2016-01-25,1.80,1.80,1.80,1.80,000,1.80
2016-01-22,1.80,1.80,1.80,1.80,000,1.80
2016-01-21,1.68,1.80,1.68,1.80,4700,1.80
2016-01-20,1.70,1.70,1.48,1.70,13100,1.70
2016-01-19,1.70,1.85,1.70,1.75,12500,1.75
2016-01-18,1.75,1.75,1.75,1.75,000,1.75
2016-01-15,1.70,1.77,1.70,1.75,2200,1.75
2016-01-14,1.77,1.79,1.73,1.74,8600,1.74
2016-01-13,1.86,1.86,1.74,1.79,20800,1.79
2016-01-12,1.92,1.92,1.92,1.92,5000,1.92
2016-01-11,1.81,1.97,1.81,1.90,12200,1.90
2016-01-08,1.87,1.90,1.87,1.90,7800,1.90
2016-01-07,1.90,1.90,1.90,1.90,000,1.90
2016-01-06,1.76,1.90,1.76,1.90,2100,1.90
2016-01-05,1.84,1.84,1.84,1.84,1000,1.84
2016-01-04,1.90,1.90,1.90,1.90,000,1.90
2016-01-01,1.90,1.90,1.90,1.90,000,1.90
2015-12-31,1.90,1.90,1.90,1.90,000,1.90
2015-12-30,1.90,1.90,1.90,1.90,100,1.90
2015-12-29,1.81,1.99,1.78,1.96,21100,1.96
2015-12-28,2.09,2.09,2.09,2.09,000,2.09
2015-12-25,2.09,2.09,2.09,2.09,000,2.09
2015-12-24,2.08,2.09,2.08,2.09,1000,2.09
2015-12-23,1.95,2.09,1.95,2.09,11800,2.09
2015-12-22,1.77,1.95,1.76,1.95,21400,1.95
2015-12-21,1.74,1.74,1.74,1.74,1000,1.74
2015-12-18,1.82,1.82,1.82,1.82,3900,1.82
2015-12-17,1.76,1.82,1.75,1.82,5500,1.82
2015-12-16,1.84,1.84,1.83,1.83,3900,1.83
2015-12-15,1.84,1.85,1.82,1.85,1100,1.85
2015-12-14,1.79,1.80,1.73,1.73,22300,1.73
2015-12-11,1.69,1.73,1.69,1.73,1400,1.73
