Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,4.48,4.50,4.42,4.45,37079700,4.440632
2016-12-29,4.49,4.52,4.46,4.47,18442100,4.460589
2016-12-28,4.53,4.55,4.50,4.50,14938500,4.490526
2016-12-27,4.50,4.58,4.50,4.53,19641100,4.520463
2016-12-23,4.51,4.53,4.51,4.51,11110000,4.500506
2016-12-22,4.52,4.55,4.50,4.51,11433100,4.500506
2016-12-21,4.54,4.57,4.52,4.53,15025100,4.520463
2016-12-20,4.52,4.56,4.52,4.53,17072200,4.520463
2016-12-19,4.52,4.54,4.51,4.53,26722900,4.520463
2016-12-16,4.51,4.54,4.48,4.52,31024700,4.510484
2016-12-15,4.52,4.55,4.48,4.49,26275100,4.480547
2016-12-14,4.51,4.59,4.49,4.51,28339200,4.500506
2016-12-13,4.47,4.54,4.47,4.54,31613300,4.530442
2016-12-12,4.51,4.54,4.45,4.45,20662700,4.440632
2016-12-09,4.57,4.58,4.52,4.54,24422100,4.530442
2016-12-08,4.51,4.57,4.48,4.54,23204500,4.530442
2016-12-07,4.40,4.55,4.38,4.50,31741600,4.490526
2016-12-06,4.33,4.42,4.32,4.41,28000600,4.400716
2016-12-05,4.32,4.37,4.29,4.33,47752100,4.320884
2016-12-02,4.53,4.60,4.22,4.30,93331500,4.290948
2016-12-01,4.57,4.61,4.51,4.56,30967500,4.5504
2016-11-30,4.62,4.65,4.56,4.57,31387400,4.560379
2016-11-29,4.56,4.63,4.55,4.61,36473100,4.600295
2016-11-28,4.58,4.61,4.54,4.54,21318400,4.530442
2016-11-25,4.59,4.63,4.58,4.61,10666400,4.600295
2016-11-23,4.63,4.65,4.59,4.59,17718200,4.580337
2016-11-22,4.58,4.65,4.54,4.61,30531900,4.600295
2016-11-21,4.56,4.59,4.55,4.57,30447200,4.560379
2016-11-18,4.56,4.62,4.56,4.56,17834100,4.5504
2016-11-17,4.51,4.59,4.50,4.58,21800000,4.570358
2016-11-16,4.57,4.58,4.51,4.52,44046800,4.510484
2016-11-15,4.49,4.60,4.44,4.58,79195700,4.570358
2016-11-14,4.36,4.56,4.36,4.49,77276700,4.480547
2016-11-11,4.28,4.38,4.27,4.36,47189800,4.350821
