Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,35.990002,36.00,35.700001,35.779999,11523000,35.716426
2016-12-29,35.75,36.040001,35.75,35.970001,11408400,35.906091
2016-12-28,35.389999,35.470001,35.330002,35.419998,13701900,35.357066
2016-12-27,35.119999,35.220001,35.119999,35.200001,12169100,35.137459
2016-12-23,34.880001,35.029999,34.880001,35.029999,9171400,34.967759
2016-12-22,34.91,34.91,34.709999,34.860001,16299900,34.798063
2016-12-21,35.400002,35.439999,35.189999,35.189999,12815300,35.127475
2016-12-20,35.360001,35.389999,35.27,35.299999,13983500,35.23728
2016-12-19,35.650002,35.68,35.400002,35.41,13079200,35.177386
2016-12-16,35.84,35.900002,35.580002,35.650002,21234600,35.415811
2016-12-15,35.709999,35.970001,35.669998,35.869999,24969800,35.634364
2016-12-14,36.459999,36.529999,35.68,35.709999,18577100,35.475415
2016-12-13,36.650002,36.849998,36.599998,36.77,8788500,36.528453
2016-12-12,36.389999,36.549999,36.279999,36.400002,8385500,36.160885
2016-12-09,36.639999,36.75,36.560001,36.700001,9646100,36.458913
2016-12-08,36.66,36.880001,36.599998,36.869999,10455300,36.627794
2016-12-07,36.400002,36.77,36.349998,36.700001,15254700,36.458913
2016-12-06,36.139999,36.23,36.049999,36.16,19646200,35.922459
2016-12-05,35.880001,36.060001,35.869999,36.009998,11260500,35.773443
2016-12-02,35.790001,35.990002,35.759998,35.77,19213700,35.535022
2016-12-01,36.119999,36.150002,35.759998,35.810001,18792600,35.57476
2016-11-30,36.32,36.34,36.189999,36.220001,22257900,35.982067
2016-11-29,36.09,36.240002,35.98,36.16,8356600,35.922459
2016-11-28,36.080002,36.25,36.060001,36.139999,12095100,35.90259
2016-11-25,35.959999,36.029999,35.919998,35.959999,3781700,35.723773
2016-11-23,35.650002,35.82,35.59,35.77,13911000,35.535022
2016-11-22,36.189999,36.220001,35.939999,36.119999,17857000,35.882721
2016-11-21,35.650002,35.790001,35.610001,35.73,12332900,35.495284
2016-11-18,35.549999,35.619999,35.32,35.380001,9265300,35.147585
2016-11-17,35.529999,35.779999,35.419998,35.459999,20662200,35.227057
2016-11-16,35.279999,35.529999,35.259998,35.450001,27749800,35.217124
2016-11-15,35.369999,35.779999,35.290001,35.740002,21154200,35.50522
2016-11-14,35.07,35.290001,34.810001,35.080002,22905700,34.849556
2016-11-11,35.290001,35.509998,34.779999,35.25,25373300,35.018438
2016-11-10,36.709999,36.73,35.740002,35.91,35285600,35.674102
2016-11-09,36.900002,37.389999,36.709999,36.98,24618000,36.737072
2016-11-08,37.639999,38.189999,37.549999,37.98,37954500,37.730503
2016-11-07,37.50,37.84,37.389999,37.799999,21821000,37.551685
2016-11-04,36.700001,36.790001,36.48,36.560001,11795700,36.319833
2016-11-03,37.07,37.169998,36.82,36.950001,24351200,36.707271
2016-11-02,37.360001,37.400002,36.869999,37.040001,29829800,36.79668
2016-11-01,37.889999,37.889999,37.150002,37.470001,20149500,37.223855
2016-10-31,37.66,37.830002,37.57,37.75,11070400,37.502015
2016-10-28,37.689999,37.810001,37.299999,37.450001,14379500,37.203986
2016-10-27,37.98,37.98,37.630001,37.66,18351800,37.412606
2016-10-26,37.919998,38.110001,37.810001,37.950001,8109200,37.700702
2016-10-25,38.209999,38.330002,38.139999,38.23,7842500,37.978861
2016-10-24,38.310001,38.380001,38.139999,38.259998,8127200,38.008663
2016-10-21,37.869999,38.099998,37.82,38.07,6764100,37.819912
2016-10-20,38.00,38.169998,37.900002,38.060001,12620300,37.80998
2016-10-19,38.049999,38.189999,37.91,38.110001,10188100,37.85965
2016-10-18,37.869999,37.950001,37.709999,37.91,11709200,37.660963
2016-10-17,37.259998,37.380001,37.189999,37.25,13280100,37.005299
2016-10-14,37.560001,37.639999,37.259998,37.32,13522800,37.074839
2016-10-13,37.00,37.349998,36.75,37.220001,12723300,36.975498
2016-10-12,37.389999,37.59,37.259998,37.450001,12309300,37.203986
2016-10-11,37.68,37.720001,37.32,37.490002,19170700,37.243724
2016-10-10,38.09,38.330002,38.07,38.200001,8509400,37.949059
2016-10-07,38.080002,38.150002,37.630001,37.939999,17118600,37.690765
2016-10-06,37.860001,38.099998,37.77,38.07,13547500,37.819912
2016-10-05,37.889999,38.119999,37.790001,38.07,11921900,37.819912
2016-10-04,37.919998,38.02,37.41,37.50,17833400,37.253657
2016-10-03,37.700001,37.93,37.560001,37.880001,23704700,37.631162
2016-09-30,37.549999,37.73,37.400002,37.630001,19286700,37.382804
2016-09-29,37.810001,37.889999,37.25,37.360001,12570900,37.114577
2016-09-28,37.709999,38.02,37.41,37.990002,10150800,37.74044
2016-09-27,37.43,37.639999,37.240002,37.619999,11045800,37.372868
2016-09-26,37.389999,37.470001,37.200001,37.23,9973500,36.98543
2016-09-23,37.91,38.00,37.68,37.689999,11140500,37.442407
2016-09-22,38.290001,38.41,38.080002,38.189999,15670400,37.939123
2016-09-21,37.48,38.07,37.32,38.02,25792800,37.770241
2016-09-20,37.360001,37.380001,37.119999,37.119999,18862700,36.876152
2016-09-19,37.259998,37.400002,37.060001,37.110001,12623900,36.86622
2016-09-16,36.790001,36.880001,36.50,36.799999,18397800,36.558255
2016-09-15,36.700001,37.169998,36.57,37.049999,15309100,36.806612
